audit_event_id,event_datetime,store_id,employee_id,event_type,entity_type,entity_id,action,previous_value,new_value,approval_employee_id,device_id,success
AUD-00000001,2026-06-13 20:19:10,PH-003,EMP-0047,Sale,transaction,TXN-0000001,CREATE,,Completed,,POS,True
AUD-00000002,2026-05-30 10:28:32,PH-003,EMP-0060,Sale,transaction,TXN-0000002,CREATE,,Completed,,POS,True
AUD-00000003,2026-05-13 14:39:31,PH-002,EMP-0040,Sale,transaction,TXN-0000003,CREATE,,Completed,,POS,True
AUD-00000004,2026-06-02 15:12:15,PH-002,EMP-0039,Sale,transaction,TXN-0000004,CREATE,,Completed,,POS,True
AUD-00000005,2026-07-22 10:09:18,PH-001,EMP-0020,Sale,transaction,TXN-0000005,CREATE,,Completed,,POS,True
AUD-00000006,2026-05-08 17:39:10,PH-001,EMP-0013,Sale,transaction,TXN-0000006,CREATE,,Completed,,POS,True
AUD-00000007,2026-05-12 13:44:31,PH-004,EMP-0080,Sale,transaction,TXN-0000007,CREATE,,Completed,,POS,True
AUD-00000008,2026-06-18 20:22:42,PH-004,EMP-0085,Sale,transaction,TXN-0000008,CREATE,,Completed,,POS,True
AUD-00000009,2026-07-22 08:46:13,PH-001,EMP-0017,Sale,transaction,TXN-0000009,CREATE,,Completed,,POS,True
AUD-00000010,2026-07-09 16:46:22,PH-003,EMP-0059,Sale,transaction,TXN-0000010,CREATE,,Completed,,POS,True
AUD-00000011,2026-07-05 18:55:18,PH-001,EMP-0015,Sale,transaction,TXN-0000011,CREATE,,Completed,,POS,True
AUD-00000012,2026-06-06 09:41:16,PH-005,EMP-0102,Sale,transaction,TXN-0000012,CREATE,,Completed,,POS,True
AUD-00000013,2026-07-20 14:13:19,PH-003,EMP-0056,Sale,transaction,TXN-0000013,CREATE,,Completed,,POS,True
AUD-00000014,2026-07-21 14:06:23,PH-002,EMP-0035,Sale,transaction,TXN-0000014,CREATE,,Completed,,POS,True
AUD-00000015,2026-06-06 09:25:13,PH-003,EMP-0045,Sale,transaction,TXN-0000015,CREATE,,Completed,,POS,True
AUD-00000016,2026-06-18 19:12:22,PH-005,EMP-0090,Sale,transaction,TXN-0000016,CREATE,,Completed,,POS,True
AUD-00000017,2026-06-03 09:26:25,PH-001,EMP-0014,Sale,transaction,TXN-0000017,CREATE,,Completed,,POS,True
AUD-00000018,2026-06-23 21:25:12,PH-005,EMP-0108,Sale,transaction,TXN-0000018,CREATE,,Completed,,POS,True
AUD-00000019,2026-05-04 19:09:24,PH-005,EMP-0107,Sale,transaction,TXN-0000019,CREATE,,Completed,,POS,True
AUD-00000020,2026-05-05 11:16:05,PH-001,EMP-0012,Sale,transaction,TXN-0000020,CREATE,,Completed,,POS,True
AUD-00000021,2026-05-02 13:58:05,PH-003,EMP-0064,Sale,transaction,TXN-0000021,CREATE,,Completed,,POS,True
AUD-00000022,2026-07-18 20:22:48,PH-003,EMP-0059,Sale,transaction,TXN-0000022,CREATE,,Completed,,POS,True
AUD-00000023,2026-05-29 09:11:52,PH-005,EMP-0107,Sale,transaction,TXN-0000023,CREATE,,Completed,,POS,True
AUD-00000024,2026-06-20 09:29:00,PH-003,EMP-0063,Sale,transaction,TXN-0000024,CREATE,,Completed,,POS,True
AUD-00000025,2026-07-29 09:17:18,PH-002,EMP-0035,Sale,transaction,TXN-0000025,CREATE,,Completed,,POS,True
AUD-00000026,2026-07-19 11:46:14,PH-001,EMP-0013,Sale,transaction,TXN-0000026,CREATE,,Completed,,POS,True
AUD-00000027,2026-07-04 11:53:39,PH-003,EMP-0047,Sale,transaction,TXN-0000027,CREATE,,Completed,,POS,True
AUD-00000028,2026-06-16 21:14:52,PH-001,EMP-0013,Sale,transaction,TXN-0000028,CREATE,,Completed,,POS,True
AUD-00000029,2026-07-04 18:41:20,PH-003,EMP-0058,Sale,transaction,TXN-0000029,CREATE,,Completed,,POS,True
AUD-00000030,2026-05-03 17:59:11,PH-003,EMP-0059,Sale,transaction,TXN-0000030,CREATE,,Completed,,POS,True
AUD-00000031,2026-05-09 10:05:54,PH-005,EMP-0100,Sale,transaction,TXN-0000031,CREATE,,Completed,,POS,True
AUD-00000032,2026-07-23 14:30:08,PH-005,EMP-0100,Sale,transaction,TXN-0000032,CREATE,,Completed,,POS,True
AUD-00000033,2026-05-03 14:13:48,PH-002,EMP-0024,Sale,transaction,TXN-0000033,CREATE,,Completed,,POS,True
AUD-00000034,2026-07-16 17:42:04,PH-002,EMP-0042,Sale,transaction,TXN-0000034,CREATE,,Completed,,POS,True
AUD-00000035,2026-05-31 10:58:39,PH-002,EMP-0037,Sale,transaction,TXN-0000035,CREATE,,Completed,,POS,True
AUD-00000036,2026-07-15 18:58:24,PH-001,EMP-0019,Sale,transaction,TXN-0000036,CREATE,,Completed,,POS,True
AUD-00000037,2026-07-29 20:36:12,PH-004,EMP-0080,Sale,transaction,TXN-0000037,CREATE,,Completed,,POS,True
AUD-00000038,2026-05-05 13:25:15,PH-005,EMP-0089,Sale,transaction,TXN-0000038,CREATE,,Completed,,POS,True
AUD-00000039,2026-06-21 11:05:10,PH-005,EMP-0107,Sale,transaction,TXN-0000039,CREATE,,Completed,,POS,True
AUD-00000040,2026-05-13 14:56:11,PH-002,EMP-0034,Sale,transaction,TXN-0000040,CREATE,,Completed,,POS,True
AUD-00000041,2026-06-12 20:36:09,PH-001,EMP-0016,Sale,transaction,TXN-0000041,CREATE,,Completed,,POS,True
AUD-00000042,2026-06-09 12:09:37,PH-004,EMP-0081,Sale,transaction,TXN-0000042,CREATE,,Completed,,POS,True
AUD-00000043,2026-06-01 16:53:35,PH-001,EMP-0006,Sale,transaction,TXN-0000043,CREATE,,Completed,,POS,True
AUD-00000044,2026-05-12 13:49:10,PH-001,EMP-0013,Sale,transaction,TXN-0000044,CREATE,,Completed,,POS,True
AUD-00000045,2026-05-24 08:16:58,PH-001,EMP-0013,Sale,transaction,TXN-0000045,CREATE,,Completed,,POS,True
AUD-00000046,2026-07-20 10:11:38,PH-003,EMP-0056,Sale,transaction,TXN-0000046,CREATE,,Completed,,POS,True
AUD-00000047,2026-05-03 19:19:48,PH-002,EMP-0036,Sale,transaction,TXN-0000047,CREATE,,Completed,,POS,True
AUD-00000048,2026-06-07 19:33:38,PH-002,EMP-0037,Sale,transaction,TXN-0000048,CREATE,,Completed,,POS,True
AUD-00000049,2026-07-12 16:56:33,PH-004,EMP-0069,Sale,transaction,TXN-0000049,CREATE,,Completed,,POS,True
AUD-00000050,2026-06-09 17:57:53,PH-004,EMP-0069,Sale,transaction,TXN-0000050,CREATE,,Completed,,POS,True
AUD-00000051,2026-05-21 17:33:21,PH-005,EMP-0107,Sale,transaction,TXN-0000051,CREATE,,Completed,,POS,True
AUD-00000052,2026-06-17 21:44:13,PH-001,EMP-0001,Sale,transaction,TXN-0000052,CREATE,,Completed,,POS,True
AUD-00000053,2026-07-02 18:00:31,PH-001,EMP-0016,Sale,transaction,TXN-0000053,CREATE,,Completed,,POS,True
AUD-00000054,2026-05-31 11:10:29,PH-004,EMP-0078,Sale,transaction,TXN-0000054,CREATE,,Completed,,POS,True
AUD-00000055,2026-05-05 10:02:02,PH-004,EMP-0081,Sale,transaction,TXN-0000055,CREATE,,Completed,,POS,True
AUD-00000056,2026-05-30 12:26:35,PH-004,EMP-0086,Sale,transaction,TXN-0000056,CREATE,,Completed,,POS,True
AUD-00000057,2026-05-04 08:33:11,PH-004,EMP-0086,Sale,transaction,TXN-0000057,CREATE,,Completed,,POS,True
AUD-00000058,2026-07-29 19:04:21,PH-001,EMP-0018,Sale,transaction,TXN-0000058,CREATE,,Completed,,POS,True
AUD-00000059,2026-06-16 09:10:11,PH-001,EMP-0014,Sale,transaction,TXN-0000059,CREATE,,Completed,,POS,True
AUD-00000060,2026-05-09 10:26:36,PH-001,EMP-0016,Sale,transaction,TXN-0000060,CREATE,,Completed,,POS,True
AUD-00000061,2026-07-29 21:21:11,PH-003,EMP-0058,Sale,transaction,TXN-0000061,CREATE,,Completed,,POS,True
AUD-00000062,2026-06-14 20:55:03,PH-004,EMP-0081,Sale,transaction,TXN-0000062,CREATE,,Completed,,POS,True
AUD-00000063,2026-05-08 18:33:27,PH-004,EMP-0067,Sale,transaction,TXN-0000063,CREATE,,Completed,,POS,True
AUD-00000064,2026-06-06 18:43:17,PH-002,EMP-0024,Sale,transaction,TXN-0000064,CREATE,,Completed,,POS,True
AUD-00000065,2026-06-15 18:06:46,PH-004,EMP-0067,Sale,transaction,TXN-0000065,CREATE,,Completed,,POS,True
AUD-00000066,2026-07-08 18:39:11,PH-002,EMP-0023,Sale,transaction,TXN-0000066,CREATE,,Completed,,POS,True
AUD-00000067,2026-07-05 18:10:03,PH-003,EMP-0057,Sale,transaction,TXN-0000067,CREATE,,Completed,,POS,True
AUD-00000068,2026-05-30 17:46:25,PH-005,EMP-0105,Sale,transaction,TXN-0000068,CREATE,,Completed,,POS,True
AUD-00000069,2026-06-10 18:27:57,PH-003,EMP-0061,Sale,transaction,TXN-0000069,CREATE,,Completed,,POS,True
AUD-00000070,2026-07-19 18:29:46,PH-001,EMP-0019,Sale,transaction,TXN-0000070,CREATE,,Completed,,POS,True
AUD-00000071,2026-05-02 13:54:21,PH-002,EMP-0035,Sale,transaction,TXN-0000071,CREATE,,Completed,,POS,True
AUD-00000072,2026-05-05 20:17:22,PH-005,EMP-0091,Sale,transaction,TXN-0000072,CREATE,,Completed,,POS,True
AUD-00000073,2026-05-29 12:21:32,PH-003,EMP-0057,Sale,transaction,TXN-0000073,CREATE,,Completed,,POS,True
AUD-00000074,2026-06-28 08:07:09,PH-005,EMP-0101,Sale,transaction,TXN-0000074,CREATE,,Completed,,POS,True
AUD-00000075,2026-06-09 09:58:56,PH-003,EMP-0046,Sale,transaction,TXN-0000075,CREATE,,Completed,,POS,True
AUD-00000076,2026-07-04 14:21:39,PH-001,EMP-0012,Sale,transaction,TXN-0000076,CREATE,,Completed,,POS,True
AUD-00000077,2026-07-01 09:13:34,PH-002,EMP-0042,Sale,transaction,TXN-0000077,CREATE,,Completed,,POS,True
AUD-00000078,2026-05-27 14:37:59,PH-005,EMP-0108,Sale,transaction,TXN-0000078,CREATE,,Completed,,POS,True
AUD-00000079,2026-07-19 17:34:35,PH-002,EMP-0038,Sale,transaction,TXN-0000079,CREATE,,Completed,,POS,True
AUD-00000080,2026-06-13 16:14:53,PH-004,EMP-0079,Sale,transaction,TXN-0000080,CREATE,,Completed,,POS,True
AUD-00000081,2026-06-15 11:03:08,PH-005,EMP-0104,Sale,transaction,TXN-0000081,CREATE,,Completed,,POS,True
AUD-00000082,2026-07-23 09:23:50,PH-005,EMP-0106,Sale,transaction,TXN-0000082,CREATE,,Completed,,POS,True
AUD-00000083,2026-05-24 18:39:16,PH-002,EMP-0036,Sale,transaction,TXN-0000083,CREATE,,Completed,,POS,True
AUD-00000084,2026-06-23 11:15:22,PH-002,EMP-0037,Sale,transaction,TXN-0000084,CREATE,,Completed,,POS,True
AUD-00000085,2026-06-18 10:32:49,PH-004,EMP-0082,Sale,transaction,TXN-0000085,CREATE,,Completed,,POS,True
AUD-00000086,2026-06-24 11:39:22,PH-001,EMP-0003,Sale,transaction,TXN-0000086,CREATE,,Completed,,POS,True
AUD-00000087,2026-05-07 20:13:02,PH-002,EMP-0041,Sale,transaction,TXN-0000087,CREATE,,Completed,,POS,True
AUD-00000088,2026-07-20 16:57:02,PH-001,EMP-0013,Sale,transaction,TXN-0000088,CREATE,,Completed,,POS,True
AUD-00000089,2026-06-29 12:05:08,PH-004,EMP-0085,Sale,transaction,TXN-0000089,CREATE,,Completed,,POS,True
AUD-00000090,2026-05-09 10:31:15,PH-004,EMP-0079,Sale,transaction,TXN-0000090,CREATE,,Completed,,POS,True
AUD-00000091,2026-05-11 18:36:55,PH-005,EMP-0106,Sale,transaction,TXN-0000091,CREATE,,Completed,,POS,True
AUD-00000092,2026-05-24 19:13:50,PH-001,EMP-0003,Sale,transaction,TXN-0000092,CREATE,,Completed,,POS,True
AUD-00000093,2026-06-08 08:53:12,PH-001,EMP-0018,Sale,transaction,TXN-0000093,CREATE,,Completed,,POS,True
AUD-00000094,2026-06-08 18:38:15,PH-004,EMP-0086,Sale,transaction,TXN-0000094,CREATE,,Completed,,POS,True
AUD-00000095,2026-07-26 16:49:31,PH-003,EMP-0057,Sale,transaction,TXN-0000095,CREATE,,Completed,,POS,True
AUD-00000096,2026-06-30 20:07:57,PH-002,EMP-0040,Sale,transaction,TXN-0000096,CREATE,,Completed,,POS,True
AUD-00000097,2026-05-15 11:34:01,PH-002,EMP-0023,Sale,transaction,TXN-0000097,CREATE,,Completed,,POS,True
AUD-00000098,2026-06-14 13:22:56,PH-001,EMP-0003,Sale,transaction,TXN-0000098,CREATE,,Completed,,POS,True
AUD-00000099,2026-06-20 17:10:25,PH-001,EMP-0019,Sale,transaction,TXN-0000099,CREATE,,Completed,,POS,True
AUD-00000100,2026-05-29 20:43:17,PH-002,EMP-0041,Sale,transaction,TXN-0000100,CREATE,,Completed,,POS,True
