drawer_session_id,store_id,register_id,employee_id,opened_at,closed_at,opening_cash,expected_cash,counted_cash,cash_variance,no_sale_open_count,cash_refund_total,cash_sales_total,approving_manager_id,flagged,flag_reason
DRW-0000001,PH-001,REG-04,EMP-0016,2026-05-01 14:00:00,2026-05-01 21:55:00,200.0,749.98,745.41,-4.57,5,113.71,1259.96,EMP-0002,False,
DRW-0000002,PH-002,REG-02,EMP-0035,2026-07-07 10:00:00,2026-07-07 17:46:00,200.0,1493.24,1496.22,2.98,2,28.74,1384.43,EMP-0023,False,
DRW-0000003,PH-003,REG-04,EMP-0064,2026-07-10 10:00:00,2026-07-10 18:01:00,200.0,662.85,662.0,-0.85,3,126.38,1654.93,EMP-0057,False,
DRW-0000004,PH-001,REG-03,EMP-0013,2026-06-02 14:00:00,2026-06-02 21:48:00,200.0,1091.77,1091.37,-0.4,2,50.68,928.37,EMP-0012,False,
DRW-0000005,PH-001,REG-06,EMP-0012,2026-07-09 12:00:00,2026-07-09 20:44:00,200.0,1854.6,1851.64,-2.96,5,4.17,1217.13,EMP-0002,False,
DRW-0000006,PH-003,REG-02,EMP-0045,2026-06-20 12:00:00,2026-06-20 20:13:00,200.0,1612.34,1613.6,1.26,3,49.99,1659.45,EMP-0047,False,
DRW-0000007,PH-003,REG-05,EMP-0063,2026-07-05 10:00:00,2026-07-05 18:12:00,200.0,1071.38,1071.75,0.37,3,137.59,1094.33,EMP-0046,False,
DRW-0000008,PH-003,REG-04,EMP-0047,2026-06-07 08:11:00,2026-06-07 16:25:00,200.0,1622.68,1623.25,0.57,0,46.3,1380.4,EMP-0057,False,
DRW-0000009,PH-004,REG-03,EMP-0079,2026-07-29 08:00:00,2026-07-29 16:20:00,200.0,1572.98,1570.26,-2.72,1,87.0,1733.16,EMP-0069,False,
DRW-0000010,PH-003,REG-06,EMP-0056,2026-07-09 12:00:00,2026-07-09 19:55:00,200.0,1863.65,1859.43,-4.22,3,117.55,315.05,EMP-0056,False,
DRW-0000011,PH-001,REG-06,EMP-0013,2026-05-07 10:00:00,2026-05-07 18:27:00,200.0,1838.09,1838.19,0.1,1,128.36,1700.97,EMP-0001,False,
DRW-0000012,PH-004,REG-01,EMP-0079,2026-05-25 10:00:00,2026-05-25 17:51:00,200.0,672.31,668.79,-3.52,3,117.99,500.71,EMP-0078,False,
DRW-0000013,PH-003,REG-06,EMP-0045,2026-06-01 14:09:00,2026-06-01 21:48:00,200.0,1736.7,1739.08,2.38,3,85.27,1095.24,EMP-0047,False,
DRW-0000014,PH-001,REG-03,EMP-0006,2026-06-06 14:00:00,2026-06-06 22:18:00,200.0,1712.41,1712.17,-0.24,4,82.23,799.34,EMP-0002,False,
DRW-0000015,PH-004,REG-06,EMP-0079,2026-07-13 12:00:00,2026-07-13 20:06:00,200.0,1676.64,1675.86,-0.78,4,7.77,1447.21,EMP-0078,False,
DRW-0000016,PH-005,REG-06,EMP-0089,2026-07-08 12:00:00,2026-07-08 19:54:00,200.0,1592.37,1587.76,-4.61,4,88.01,1666.83,EMP-0101,False,
DRW-0000017,PH-005,REG-02,EMP-0107,2026-06-21 12:05:00,2026-06-21 19:48:00,200.0,577.04,580.14,3.1,1,106.79,1659.36,EMP-0089,False,
DRW-0000018,PH-001,REG-02,EMP-0002,2026-06-06 12:12:00,2026-06-06 20:02:00,200.0,1819.82,1820.08,0.26,1,95.23,534.55,EMP-0003,False,
DRW-0000019,PH-005,REG-01,EMP-0101,2026-05-15 10:00:00,2026-05-15 18:42:00,200.0,1785.77,1780.9,-4.87,4,5.19,1013.37,EMP-0091,False,
DRW-0000020,PH-003,REG-05,EMP-0060,2026-07-17 14:00:00,2026-07-17 22:05:00,200.0,1515.01,1510.55,-4.46,2,125.35,800.08,EMP-0045,False,
DRW-0000021,PH-005,REG-05,EMP-0106,2026-05-07 08:00:00,2026-05-07 16:21:00,200.0,1271.07,1272.0,0.93,4,137.01,389.15,EMP-0090,False,
DRW-0000022,PH-001,REG-02,EMP-0020,2026-06-16 12:00:00,2026-06-16 20:08:00,200.0,581.74,580.33,-1.41,2,95.76,546.77,EMP-0003,False,
DRW-0000023,PH-003,REG-06,EMP-0064,2026-07-07 14:00:00,2026-07-07 22:13:00,200.0,1216.88,1219.76,2.88,0,101.82,948.74,EMP-0045,False,
DRW-0000024,PH-005,REG-06,EMP-0100,2026-07-30 10:00:00,2026-07-30 17:49:00,200.0,1416.62,1414.05,-2.57,0,107.52,703.56,EMP-0091,False,
DRW-0000025,PH-004,REG-02,EMP-0082,2026-05-12 08:00:00,2026-05-12 15:50:00,200.0,1499.05,1498.3,-0.75,3,8.7,730.19,EMP-0069,False,
DRW-0000026,PH-005,REG-03,EMP-0091,2026-05-12 08:00:00,2026-05-12 16:12:00,200.0,1034.69,1031.95,-2.74,2,114.3,1555.27,EMP-0090,False,
DRW-0000027,PH-004,REG-03,EMP-0079,2026-05-25 12:00:00,2026-05-25 20:24:00,200.0,1565.1,1568.37,3.27,1,85.96,1781.78,EMP-0079,False,
DRW-0000028,PH-001,REG-04,EMP-0020,2026-07-14 10:00:00,2026-07-14 18:41:00,200.0,1727.07,1730.37,3.3,3,45.17,950.33,EMP-0003,False,
DRW-0000029,PH-003,REG-05,EMP-0059,2026-07-24 14:00:00,2026-07-24 22:45:00,200.0,713.12,713.86,0.74,1,77.7,1413.87,EMP-0045,False,
DRW-0000030,PH-004,REG-01,EMP-0069,2026-05-25 10:02:00,2026-05-25 17:54:00,200.0,1620.05,1619.69,-0.36,3,9.15,862.95,EMP-0079,False,
DRW-0000031,PH-003,REG-04,EMP-0056,2026-06-15 08:00:00,2026-06-15 16:28:00,200.0,571.14,572.94,1.8,1,95.09,749.73,EMP-0047,False,
DRW-0000032,PH-001,REG-01,EMP-0006,2026-05-29 08:19:00,2026-05-29 16:12:00,200.0,1091.34,1095.0,3.66,1,137.85,554.39,EMP-0002,False,
DRW-0000033,PH-005,REG-01,EMP-0090,2026-05-31 12:00:00,2026-05-31 19:59:00,200.0,1187.45,1186.8,-0.65,1,101.26,512.1,EMP-0090,False,
DRW-0000034,PH-004,REG-02,EMP-0067,2026-05-25 14:00:00,2026-05-25 22:44:00,200.0,812.64,808.74,-3.9,5,149.34,1069.62,EMP-0079,False,
DRW-0000035,PH-004,REG-04,EMP-0068,2026-06-30 12:00:00,2026-06-30 20:20:00,200.0,1182.29,1179.56,-2.73,0,95.85,1716.27,EMP-0078,False,
DRW-0000036,PH-004,REG-01,EMP-0086,2026-07-21 10:00:00,2026-07-21 18:38:00,200.0,599.23,600.14,0.91,3,144.37,1154.02,EMP-0067,False,
DRW-0000037,PH-003,REG-05,EMP-0063,2026-06-18 14:00:00,2026-06-18 21:50:00,200.0,1837.97,1839.92,1.95,4,67.35,592.09,EMP-0045,False,
DRW-0000038,PH-001,REG-01,EMP-0018,2026-06-18 08:00:00,2026-06-18 15:48:00,200.0,1901.36,1898.3,-3.06,3,97.4,1063.11,EMP-0001,False,
DRW-0000039,PH-001,REG-01,EMP-0016,2026-05-07 10:00:00,2026-05-07 18:35:00,200.0,1307.67,1304.92,-2.75,3,66.71,1024.58,EMP-0012,False,
DRW-0000040,PH-004,REG-02,EMP-0079,2026-06-06 12:00:00,2026-06-06 19:57:00,200.0,1808.13,1808.93,0.8,1,122.3,328.76,EMP-0069,False,
DRW-0000041,PH-004,REG-01,EMP-0067,2026-07-19 10:00:00,2026-07-19 18:36:00,200.0,882.68,881.28,-1.4,2,34.86,1761.19,EMP-0068,False,
DRW-0000042,PH-004,REG-02,EMP-0078,2026-05-18 08:20:00,2026-05-18 16:18:00,200.0,1732.47,1735.17,2.7,3,64.1,1451.62,EMP-0069,False,
DRW-0000043,PH-001,REG-04,EMP-0002,2026-06-19 12:00:00,2026-06-19 20:11:00,200.0,954.69,957.14,2.45,0,48.08,554.74,EMP-0013,False,
DRW-0000044,PH-004,REG-05,EMP-0067,2026-05-01 08:00:00,2026-05-01 16:11:00,200.0,633.21,629.36,-3.85,2,52.88,576.2,EMP-0067,False,
DRW-0000045,PH-005,REG-04,EMP-0107,2026-07-08 08:12:00,2026-07-08 15:54:00,200.0,610.08,613.19,3.11,4,130.37,686.31,EMP-0100,False,
DRW-0000046,PH-004,REG-01,EMP-0067,2026-06-13 14:00:00,2026-06-13 22:19:00,200.0,1876.96,1877.94,0.98,0,0.85,1321.5,EMP-0079,False,
DRW-0000047,PH-001,REG-01,EMP-0001,2026-05-19 10:00:00,2026-05-19 17:58:00,200.0,773.65,774.61,0.96,2,33.59,1530.68,EMP-0002,False,
DRW-0000048,PH-004,REG-03,EMP-0086,2026-06-11 14:00:00,2026-06-11 22:17:00,200.0,1998.04,1999.45,1.41,4,14.03,1114.33,EMP-0068,False,
DRW-0000049,PH-005,REG-03,EMP-0104,2026-05-23 14:00:00,2026-05-23 22:29:00,200.0,1499.96,1497.02,-2.94,0,9.88,454.61,EMP-0100,False,
DRW-0000050,PH-005,REG-06,EMP-0103,2026-07-31 10:00:00,2026-07-31 18:44:00,200.0,1061.79,1064.89,3.1,2,94.83,652.31,EMP-0100,False,
DRW-0000051,PH-002,REG-05,EMP-0041,2026-06-02 12:01:00,2026-06-02 20:35:00,200.0,1786.03,1784.81,-1.22,1,84.35,653.76,EMP-0035,False,
DRW-0000052,PH-003,REG-01,EMP-0057,2026-05-21 12:00:00,2026-05-21 20:16:00,200.0,948.1,944.28,-3.82,4,100.26,1171.62,EMP-0056,False,
DRW-0000053,PH-003,REG-04,EMP-0046,2026-07-31 10:00:00,2026-07-31 18:19:00,200.0,1770.43,1772.08,1.65,0,114.44,888.71,EMP-0045,False,
DRW-0000054,PH-003,REG-04,EMP-0059,2026-06-10 08:02:00,2026-06-10 16:00:00,200.0,1659.76,1662.03,2.27,0,63.75,1357.74,EMP-0056,False,
DRW-0000055,PH-003,REG-03,EMP-0058,2026-07-01 14:00:00,2026-07-01 22:20:00,200.0,642.51,639.48,-3.03,3,65.71,1584.74,EMP-0046,False,
DRW-0000056,PH-001,REG-06,EMP-0006,2026-07-02 10:00:00,2026-07-02 18:23:00,200.0,654.28,655.12,0.84,2,73.76,319.3,EMP-0013,False,
DRW-0000057,PH-002,REG-02,EMP-0041,2026-06-16 08:00:00,2026-06-16 15:59:00,200.0,1467.97,1464.21,-3.76,0,20.97,935.75,EMP-0025,False,
