override_id,transaction_id,store_id,employee_id,approving_manager_id,product_id,override_datetime,original_amount,adjusted_amount,discount_amount,discount_percent,override_reason,approval_method,flagged,flag_reason
OVR-000001,TXN-0000040,PH-002,EMP-0034,EMP-0023,PRD-00474,2026-05-13 14:56:11,64.44,41.89,22.55,35.0,Manager price override,Manager PIN,False,
OVR-000002,TXN-0000048,PH-002,EMP-0037,EMP-0023,PRD-00224,2026-06-07 19:33:38,5.6,2.8,2.8,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000003,TXN-0000049,PH-004,EMP-0069,EMP-0078,PRD-00740,2026-07-12 16:56:33,41.75,31.31,10.44,25.0,Manager price override,Manager PIN,False,
OVR-000004,TXN-0000064,PH-002,EMP-0024,EMP-0023,PRD-00102,2026-06-06 18:43:17,73.13,54.85,18.28,25.0,Manager price override,Manager PIN,False,
OVR-000005,TXN-0000095,PH-003,EMP-0057,EMP-0046,PRD-00709,2026-07-26 16:49:31,53.18,26.59,26.59,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000006,TXN-0000143,PH-005,EMP-0106,EMP-0090,PRD-00686,2026-05-13 15:57:18,18.4,13.8,4.6,25.0,Manager price override,Manager PIN,False,
OVR-000007,TXN-0000164,PH-002,EMP-0041,EMP-0023,PRD-00705,2026-05-19 18:02:29,20.34,13.22,7.12,35.0,Manager price override,Manager PIN,False,
OVR-000008,TXN-0000165,PH-005,EMP-0089,EMP-0090,PRD-00032,2026-05-12 20:22:17,33.49,18.42,15.07,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000009,TXN-0000187,PH-002,EMP-0037,EMP-0023,PRD-00272,2026-05-09 19:33:05,60.63,33.35,27.28,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000010,TXN-0000188,PH-003,EMP-0046,EMP-0047,PRD-00741,2026-07-01 18:21:47,18.82,9.41,9.41,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000011,TXN-0000201,PH-002,EMP-0036,EMP-0023,PRD-00146,2026-06-07 10:19:53,37.43,28.07,9.36,25.0,Manager price override,Manager PIN,False,
OVR-000012,TXN-0000214,PH-002,EMP-0040,EMP-0023,PRD-00078,2026-06-09 20:22:46,8.0,5.2,2.8,35.0,Manager price override,Manager PIN,False,
OVR-000013,TXN-0000224,PH-005,EMP-0091,EMP-0089,PRD-00126,2026-06-22 20:37:59,22.49,12.37,10.12,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000014,TXN-0000248,PH-002,EMP-0025,EMP-0023,PRD-00183,2026-06-12 19:57:37,13.05,7.18,5.87,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000015,TXN-0000248,PH-002,EMP-0025,EMP-0023,PRD-00387,2026-06-12 19:57:37,76.1,57.08,19.02,25.0,Manager price override,Manager PIN,False,
OVR-000016,TXN-0000248,PH-002,EMP-0025,EMP-0023,PRD-00139,2026-06-12 19:57:37,25.36,13.95,11.41,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000017,TXN-0000278,PH-002,EMP-0037,EMP-0023,PRD-00038,2026-07-30 20:01:04,56.71,36.86,19.85,35.0,Manager price override,Manager PIN,False,
OVR-000018,TXN-0000278,PH-002,EMP-0037,EMP-0023,PRD-00177,2026-07-30 20:01:04,16.24,10.56,5.68,35.0,Manager price override,Manager PIN,False,
OVR-000019,TXN-0000305,PH-002,EMP-0024,EMP-0023,PRD-00425,2026-07-21 19:34:21,18.63,13.97,4.66,25.0,Manager price override,Manager PIN,False,
OVR-000020,TXN-0000319,PH-001,EMP-0015,EMP-0013,PRD-00345,2026-05-22 21:47:10,3.78,1.89,1.89,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000021,TXN-0000371,PH-002,EMP-0038,EMP-0023,PRD-00297,2026-06-08 20:10:03,12.2,6.71,5.49,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000022,TXN-0000375,PH-002,EMP-0025,EMP-0023,PRD-00033,2026-07-28 20:59:52,62.39,40.55,21.84,35.0,Manager price override,Manager PIN,False,
OVR-000023,TXN-0000413,PH-002,EMP-0036,EMP-0023,PRD-00236,2026-06-04 11:18:09,9.63,4.81,4.82,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000024,TXN-0000446,PH-002,EMP-0035,EMP-0023,PRD-00555,2026-07-10 09:53:12,47.46,30.85,16.61,35.0,Manager price override,Manager PIN,False,
OVR-000025,TXN-0000491,PH-002,EMP-0034,EMP-0023,PRD-00251,2026-07-05 20:02:08,22.63,14.71,7.92,35.0,Manager price override,Manager PIN,False,
OVR-000026,TXN-0000502,PH-004,EMP-0069,EMP-0078,PRD-00323,2026-05-04 08:46:04,56.36,42.27,14.09,25.0,Manager price override,Manager PIN,False,
OVR-000027,TXN-0000505,PH-002,EMP-0035,EMP-0023,PRD-00775,2026-05-31 21:36:41,133.4,66.7,66.7,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000028,TXN-0000516,PH-003,EMP-0063,EMP-0056,PRD-00007,2026-07-26 21:52:33,39.12,25.43,13.69,35.0,Manager price override,Manager PIN,False,
OVR-000029,TXN-0000536,PH-001,EMP-0018,EMP-0001,PRD-00469,2026-05-25 14:41:12,16.18,8.09,8.09,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000030,TXN-0000539,PH-001,EMP-0020,EMP-0002,PRD-00783,2026-06-24 20:02:04,34.42,25.81,8.61,25.0,Manager price override,Manager PIN,False,
OVR-000031,TXN-0000540,PH-002,EMP-0039,EMP-0023,PRD-00192,2026-06-18 21:20:33,66.69,43.35,23.34,35.0,Manager price override,Manager PIN,False,
OVR-000032,TXN-0000540,PH-002,EMP-0039,EMP-0023,PRD-00468,2026-06-18 21:20:33,3.33,1.66,1.67,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000033,TXN-0000541,PH-001,EMP-0016,EMP-0003,PRD-00439,2026-07-22 17:41:56,17.79,11.56,6.23,35.0,Manager price override,Manager PIN,False,
OVR-000034,TXN-0000542,PH-003,EMP-0045,EMP-0045,PRD-00090,2026-06-07 09:31:15,33.54,18.45,15.09,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000035,TXN-0000544,PH-003,EMP-0063,EMP-0047,PRD-00573,2026-06-08 21:47:18,9.34,4.67,4.67,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
