adjustment_id,store_id,product_id,employee_id,approving_manager_id,adjustment_datetime,adjustment_type,quantity_before,adjustment_quantity,quantity_after,adjustment_value,reason,reference_document,flagged,flag_reason
ADJ-0000001,PH-001,PRD-00262,EMP-0006,EMP-0001,2026-07-14 16:00:00,Cycle Count,90,1,91,26.08,Cycle Count,,False,
ADJ-0000002,PH-001,PRD-00339,EMP-0006,EMP-0003,2026-07-05 10:00:00,Shrinkage,21,-3,18,-41.91,Shrinkage,,False,
ADJ-0000003,PH-001,PRD-00715,EMP-0017,EMP-0003,2026-07-20 08:00:00,Cycle Count,100,2,102,62.12,Cycle Count,,False,
ADJ-0000004,PH-001,PRD-00460,EMP-0003,EMP-0001,2026-07-21 16:00:00,Shrinkage,71,-2,69,-45.44,Shrinkage,,False,
ADJ-0000005,PH-001,PRD-00712,EMP-0016,EMP-0003,2026-07-14 15:00:00,Shrinkage,0,0,0,0.0,Shrinkage,,False,
ADJ-0000006,PH-001,PRD-00204,EMP-0004,EMP-0003,2026-07-12 16:00:00,Cycle Count,28,3,31,60.84,Cycle Count,,False,
ADJ-0000007,PH-001,PRD-00547,EMP-0021,EMP-0013,2026-07-09 12:00:00,Cycle Count,94,3,97,22.83,Cycle Count,,False,
ADJ-0000008,PH-001,PRD-00352,EMP-0016,EMP-0013,2026-07-15 21:00:00,Shrinkage,10,-2,8,-52.24,Shrinkage,,False,
ADJ-0000009,PH-001,PRD-00392,EMP-0021,EMP-0013,2026-07-25 18:00:00,Cycle Count,56,3,59,40.83,Cycle Count,,False,
ADJ-0000010,PH-001,PRD-00557,EMP-0022,EMP-0002,2026-07-28 12:00:00,Cycle Count,84,3,87,14.58,Cycle Count,,False,
ADJ-0000011,PH-001,PRD-00049,EMP-0007,EMP-0001,2026-07-03 12:00:00,Cycle Count,96,2,98,57.82,Cycle Count,,False,
ADJ-0000012,PH-001,PRD-00388,EMP-0015,EMP-0003,2026-07-25 11:00:00,Shrinkage,13,-2,11,-45.32,Shrinkage,,False,
ADJ-0000013,PH-001,PRD-00743,EMP-0021,EMP-0002,2026-07-06 09:00:00,Cycle Count,1,3,4,9.75,Cycle Count,,False,
ADJ-0000014,PH-001,PRD-00239,EMP-0001,EMP-0012,2026-07-29 18:00:00,Shrinkage,43,-3,40,-42.93,Shrinkage,,False,
ADJ-0000015,PH-001,PRD-00134,EMP-0022,EMP-0001,2026-07-03 15:00:00,Shrinkage,53,-2,51,-2.02,Shrinkage,,False,
