movement_id,store_id,product_id,movement_datetime,movement_type,quantity_change,reference_id,employee_id
MOV-00000001,PH-003,PRD-00735,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000002,PH-003,PRD-00367,2026-06-13 20:19:10,SALE,-2,TXN-0000001,EMP-0047
MOV-00000003,PH-003,PRD-00702,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000004,PH-003,PRD-00471,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000005,PH-003,PRD-00773,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000006,PH-003,PRD-00469,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000007,PH-003,PRD-00784,2026-06-13 20:19:10,SALE,-1,TXN-0000001,EMP-0047
MOV-00000008,PH-003,PRD-00362,2026-05-30 10:28:32,SALE,-1,TXN-0000002,EMP-0060
MOV-00000009,PH-002,PRD-00412,2026-05-13 14:39:31,SALE,-1,TXN-0000003,EMP-0040
MOV-00000010,PH-002,PRD-00302,2026-05-13 14:39:31,SALE,-1,TXN-0000003,EMP-0040
MOV-00000011,PH-002,PRD-00648,2026-05-13 14:39:31,SALE,-4,TXN-0000003,EMP-0040
MOV-00000012,PH-002,PRD-00254,2026-05-13 14:39:31,SALE,-1,TXN-0000003,EMP-0040
MOV-00000013,PH-002,PRD-00278,2026-06-02 15:12:15,SALE,-2,TXN-0000004,EMP-0039
MOV-00000014,PH-002,PRD-00025,2026-06-02 15:12:15,SALE,-4,TXN-0000004,EMP-0039
MOV-00000015,PH-001,PRD-00424,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000016,PH-001,PRD-00218,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000017,PH-001,PRD-00523,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000018,PH-001,PRD-00182,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000019,PH-001,PRD-00068,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000020,PH-001,PRD-00273,2026-07-22 10:09:18,SALE,-2,TXN-0000005,EMP-0020
MOV-00000021,PH-001,PRD-00260,2026-07-22 10:09:18,SALE,-1,TXN-0000005,EMP-0020
MOV-00000022,PH-001,PRD-00105,2026-05-08 17:39:10,SALE,-1,TXN-0000006,EMP-0013
MOV-00000023,PH-001,PRD-00154,2026-05-08 17:39:10,SALE,-1,TXN-0000006,EMP-0013
MOV-00000024,PH-001,PRD-00365,2026-05-08 17:39:10,SALE,-1,TXN-0000006,EMP-0013
MOV-00000025,PH-001,PRD-00263,2026-05-08 17:39:10,SALE,-1,TXN-0000006,EMP-0013
MOV-00000026,PH-001,PRD-00583,2026-05-08 17:39:10,SALE,-1,TXN-0000006,EMP-0013
MOV-00000027,PH-004,PRD-00261,2026-05-12 13:44:31,SALE,-3,TXN-0000007,EMP-0080
MOV-00000028,PH-004,PRD-00200,2026-05-12 13:44:31,SALE,-1,TXN-0000007,EMP-0080
MOV-00000029,PH-004,PRD-00588,2026-05-12 13:44:31,SALE,-4,TXN-0000007,EMP-0080
MOV-00000030,PH-004,PRD-00717,2026-05-12 13:44:31,SALE,-1,TXN-0000007,EMP-0080
MOV-00000031,PH-004,PRD-00738,2026-05-12 13:44:31,SALE,-1,TXN-0000007,EMP-0080
MOV-00000032,PH-004,PRD-00154,2026-05-12 13:44:31,SALE,-3,TXN-0000007,EMP-0080
MOV-00000033,PH-004,PRD-00525,2026-06-18 20:22:42,SALE,-1,TXN-0000008,EMP-0085
MOV-00000034,PH-004,PRD-00093,2026-06-18 20:22:42,SALE,-1,TXN-0000008,EMP-0085
MOV-00000035,PH-004,PRD-00348,2026-06-18 20:22:42,SALE,-1,TXN-0000008,EMP-0085
MOV-00000036,PH-001,PRD-00613,2026-07-22 08:46:13,SALE,-1,TXN-0000009,EMP-0017
MOV-00000037,PH-001,PRD-00675,2026-07-22 08:46:13,SALE,-1,TXN-0000009,EMP-0017
MOV-00000038,PH-003,PRD-00056,2026-07-09 16:46:22,SALE,-1,TXN-0000010,EMP-0059
MOV-00000039,PH-003,PRD-00398,2026-07-09 16:46:22,SALE,-1,TXN-0000010,EMP-0059
MOV-00000040,PH-003,PRD-00713,2026-07-09 16:46:22,SALE,-1,TXN-0000010,EMP-0059
MOV-00000041,PH-003,PRD-00044,2026-07-09 16:46:22,SALE,-4,TXN-0000010,EMP-0059
MOV-00000042,PH-001,PRD-00319,2026-07-05 18:55:18,SALE,-1,TXN-0000011,EMP-0015
MOV-00000043,PH-001,PRD-00023,2026-07-05 18:55:18,SALE,-1,TXN-0000011,EMP-0015
MOV-00000044,PH-001,PRD-00532,2026-07-05 18:55:18,SALE,-1,TXN-0000011,EMP-0015
MOV-00000045,PH-005,PRD-00693,2026-06-06 09:41:16,SALE,-3,TXN-0000012,EMP-0102
MOV-00000046,PH-005,PRD-00625,2026-06-06 09:41:16,SALE,-1,TXN-0000012,EMP-0102
MOV-00000047,PH-005,PRD-00233,2026-06-06 09:41:16,SALE,-1,TXN-0000012,EMP-0102
MOV-00000048,PH-005,PRD-00464,2026-06-06 09:41:16,SALE,-1,TXN-0000012,EMP-0102
MOV-00000049,PH-005,PRD-00526,2026-06-06 09:41:16,SALE,-1,TXN-0000012,EMP-0102
MOV-00000050,PH-003,PRD-00711,2026-07-20 14:13:19,SALE,-2,TXN-0000013,EMP-0056
MOV-00000051,PH-003,PRD-00744,2026-07-20 14:13:19,SALE,-1,TXN-0000013,EMP-0056
MOV-00000052,PH-003,PRD-00500,2026-07-20 14:13:19,SALE,-1,TXN-0000013,EMP-0056
MOV-00000053,PH-003,PRD-00238,2026-07-20 14:13:19,SALE,-1,TXN-0000013,EMP-0056
MOV-00000054,PH-003,PRD-00669,2026-07-20 14:13:19,SALE,-1,TXN-0000013,EMP-0056
MOV-00000055,PH-002,PRD-00016,2026-07-21 14:06:23,SALE,-1,TXN-0000014,EMP-0035
MOV-00000056,PH-002,PRD-00122,2026-07-21 14:06:23,SALE,-1,TXN-0000014,EMP-0035
MOV-00000057,PH-002,PRD-00168,2026-07-21 14:06:23,SALE,-3,TXN-0000014,EMP-0035
MOV-00000058,PH-002,PRD-00296,2026-07-21 14:06:23,SALE,-4,TXN-0000014,EMP-0035
MOV-00000059,PH-002,PRD-00753,2026-07-21 14:06:23,SALE,-1,TXN-0000014,EMP-0035
MOV-00000060,PH-003,PRD-00760,2026-06-06 09:25:13,SALE,-1,TXN-0000015,EMP-0045
MOV-00000061,PH-003,PRD-00072,2026-06-06 09:25:13,SALE,-1,TXN-0000015,EMP-0045
MOV-00000062,PH-003,PRD-00034,2026-06-06 09:25:13,SALE,-1,TXN-0000015,EMP-0045
MOV-00000063,PH-003,PRD-00037,2026-06-06 09:25:13,SALE,-1,TXN-0000015,EMP-0045
MOV-00000064,PH-003,PRD-00661,2026-06-06 09:25:13,SALE,-1,TXN-0000015,EMP-0045
MOV-00000065,PH-005,PRD-00181,2026-06-18 19:12:22,SALE,-1,TXN-0000016,EMP-0090
MOV-00000066,PH-005,PRD-00169,2026-06-18 19:12:22,SALE,-1,TXN-0000016,EMP-0090
MOV-00000067,PH-005,PRD-00381,2026-06-18 19:12:22,SALE,-1,TXN-0000016,EMP-0090
MOV-00000068,PH-005,PRD-00179,2026-06-18 19:12:22,SALE,-2,TXN-0000016,EMP-0090
MOV-00000069,PH-005,PRD-00515,2026-06-18 19:12:22,SALE,-1,TXN-0000016,EMP-0090
MOV-00000070,PH-005,PRD-00372,2026-06-18 19:12:22,SALE,-1,TXN-0000016,EMP-0090
MOV-00000071,PH-001,PRD-00246,2026-06-03 09:26:25,SALE,-1,TXN-0000017,EMP-0014
MOV-00000072,PH-001,PRD-00660,2026-06-03 09:26:25,SALE,-1,TXN-0000017,EMP-0014
MOV-00000073,PH-001,PRD-00150,2026-06-03 09:26:25,SALE,-1,TXN-0000017,EMP-0014
MOV-00000074,PH-001,PRD-00555,2026-06-03 09:26:25,SALE,-1,TXN-0000017,EMP-0014
MOV-00000075,PH-001,PRD-00602,2026-06-03 09:26:25,SALE,-3,TXN-0000017,EMP-0014
MOV-00000076,PH-001,PRD-00630,2026-06-03 09:26:25,SALE,-1,TXN-0000017,EMP-0014
MOV-00000077,PH-005,PRD-00265,2026-06-23 21:25:12,SALE,-1,TXN-0000018,EMP-0108
MOV-00000078,PH-005,PRD-00144,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000079,PH-005,PRD-00688,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000080,PH-005,PRD-00281,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000081,PH-005,PRD-00758,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000082,PH-005,PRD-00651,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000083,PH-005,PRD-00461,2026-05-04 19:09:24,SALE,-1,TXN-0000019,EMP-0107
MOV-00000084,PH-001,PRD-00589,2026-05-05 11:16:05,SALE,-1,TXN-0000020,EMP-0012
MOV-00000085,PH-003,PRD-00668,2026-05-02 13:58:05,SALE,-1,TXN-0000021,EMP-0064
MOV-00000086,PH-003,PRD-00757,2026-05-02 13:58:05,SALE,-1,TXN-0000021,EMP-0064
MOV-00000087,PH-003,PRD-00004,2026-05-02 13:58:05,SALE,-3,TXN-0000021,EMP-0064
MOV-00000088,PH-003,PRD-00352,2026-05-02 13:58:05,SALE,-1,TXN-0000021,EMP-0064
MOV-00000089,PH-003,PRD-00148,2026-07-18 20:22:48,SALE,-4,TXN-0000022,EMP-0059
MOV-00000090,PH-003,PRD-00177,2026-07-18 20:22:48,SALE,-1,TXN-0000022,EMP-0059
MOV-00000091,PH-003,PRD-00522,2026-07-18 20:22:48,SALE,-3,TXN-0000022,EMP-0059
MOV-00000092,PH-003,PRD-00372,2026-07-18 20:22:48,SALE,-1,TXN-0000022,EMP-0059
MOV-00000093,PH-003,PRD-00750,2026-07-18 20:22:48,SALE,-1,TXN-0000022,EMP-0059
MOV-00000094,PH-005,PRD-00022,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000095,PH-005,PRD-00253,2026-05-29 09:11:52,SALE,-3,TXN-0000023,EMP-0107
MOV-00000096,PH-005,PRD-00193,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000097,PH-005,PRD-00487,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000098,PH-005,PRD-00513,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000099,PH-005,PRD-00399,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000100,PH-005,PRD-00264,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000101,PH-005,PRD-00078,2026-05-29 09:11:52,SALE,-1,TXN-0000023,EMP-0107
MOV-00000102,PH-003,PRD-00031,2026-06-20 09:29:00,SALE,-1,TXN-0000024,EMP-0063
MOV-00000103,PH-003,PRD-00065,2026-06-20 09:29:00,SALE,-1,TXN-0000024,EMP-0063
MOV-00000104,PH-003,PRD-00519,2026-06-20 09:29:00,SALE,-1,TXN-0000024,EMP-0063
MOV-00000105,PH-003,PRD-00534,2026-06-20 09:29:00,SALE,-2,TXN-0000024,EMP-0063
MOV-00000106,PH-003,PRD-00006,2026-06-20 09:29:00,SALE,-2,TXN-0000024,EMP-0063
MOV-00000107,PH-003,PRD-00087,2026-06-20 09:29:00,SALE,-1,TXN-0000024,EMP-0063
MOV-00000108,PH-002,PRD-00510,2026-07-29 09:17:18,SALE,-1,TXN-0000025,EMP-0035
MOV-00000109,PH-002,PRD-00315,2026-07-29 09:17:18,SALE,-1,TXN-0000025,EMP-0035
MOV-00000110,PH-002,PRD-00256,2026-07-29 09:17:18,SALE,-3,TXN-0000025,EMP-0035
MOV-00000111,PH-001,PRD-00068,2026-07-19 11:46:14,SALE,-1,TXN-0000026,EMP-0013
MOV-00000112,PH-001,PRD-00354,2026-07-19 11:46:14,SALE,-1,TXN-0000026,EMP-0013
MOV-00000113,PH-001,PRD-00703,2026-07-19 11:46:14,SALE,-1,TXN-0000026,EMP-0013
MOV-00000114,PH-001,PRD-00785,2026-07-19 11:46:14,SALE,-1,TXN-0000026,EMP-0013
MOV-00000115,PH-001,PRD-00666,2026-07-19 11:46:14,SALE,-3,TXN-0000026,EMP-0013
MOV-00000116,PH-001,PRD-00664,2026-07-19 11:46:14,SALE,-1,TXN-0000026,EMP-0013
MOV-00000117,PH-001,PRD-00207,2026-07-19 11:46:14,SALE,-4,TXN-0000026,EMP-0013
MOV-00000118,PH-003,PRD-00516,2026-07-04 11:53:39,SALE,-1,TXN-0000027,EMP-0047
MOV-00000119,PH-003,PRD-00752,2026-07-04 11:53:39,SALE,-1,TXN-0000027,EMP-0047
