snapshot_id,snapshot_date,store_id,product_id,system_quantity,counted_quantity,variance_quantity,variance_value,expired_quantity,status
SNP-00000001,2026-07-31,PH-001,PRD-00262,90,91,1,26.08,0,Minor Variance
SNP-00000002,2026-07-31,PH-001,PRD-00339,21,18,-3,-41.91,0,Minor Variance
SNP-00000003,2026-07-31,PH-001,PRD-00129,26,26,0,0.0,0,Matched
SNP-00000004,2026-07-31,PH-001,PRD-00715,100,102,2,62.12,0,Minor Variance
SNP-00000005,2026-07-31,PH-001,PRD-00460,71,69,-2,-45.44,0,Minor Variance
SNP-00000006,2026-07-31,PH-001,PRD-00695,30,30,0,0.0,0,Matched
SNP-00000007,2026-07-31,PH-001,PRD-00712,0,0,0,0.0,0,Out of Stock
SNP-00000008,2026-07-31,PH-001,PRD-00204,28,31,3,60.84,0,Minor Variance
SNP-00000009,2026-07-31,PH-001,PRD-00141,50,50,0,0.0,0,Matched
SNP-00000010,2026-07-31,PH-001,PRD-00547,94,97,3,22.83,0,Minor Variance
SNP-00000011,2026-07-31,PH-001,PRD-00352,10,8,-2,-52.24,0,Minor Variance
SNP-00000012,2026-07-31,PH-001,PRD-00392,56,59,3,40.83,0,Minor Variance
SNP-00000013,2026-07-31,PH-001,PRD-00557,84,87,3,14.58,0,Minor Variance
SNP-00000014,2026-07-31,PH-001,PRD-00049,96,98,2,57.82,0,Minor Variance
SNP-00000015,2026-07-31,PH-001,PRD-00388,13,11,-2,-45.32,0,Minor Variance
SNP-00000016,2026-07-31,PH-001,PRD-00743,1,4,3,9.75,0,Minor Variance
SNP-00000017,2026-07-31,PH-001,PRD-00239,43,40,-3,-42.93,0,Minor Variance
SNP-00000018,2026-07-31,PH-001,PRD-00134,53,51,-2,-2.02,0,Minor Variance
SNP-00000019,2026-07-31,PH-001,PRD-00029,20,18,-2,-59.7,0,Minor Variance
SNP-00000020,2026-07-31,PH-001,PRD-00355,31,31,0,0.0,0,Matched
SNP-00000021,2026-07-31,PH-001,PRD-00582,44,42,-2,-2.22,0,Minor Variance
SNP-00000022,2026-07-31,PH-001,PRD-00646,65,65,0,0.0,0,Matched
SNP-00000023,2026-07-31,PH-001,PRD-00602,66,68,2,23.68,0,Minor Variance
SNP-00000024,2026-07-31,PH-001,PRD-00487,5,6,1,32.86,0,Minor Variance
