receipt_id,transaction_id,receipt_number,print_type,printed_datetime,printed_by_employee_id,register_id,store_id,print_reason
RCT-0000001,TXN-0004917,RCP-00004917,Original,2026-05-01 08:04:36,EMP-0084,REG-06,PH-004,
RCT-0000002,TXN-0001499,RCP-00001499,Original,2026-05-01 08:07:57,EMP-0017,REG-03,PH-001,
RCT-0000003,TXN-0000694,RCP-00000694,Original,2026-05-01 08:18:32,EMP-0013,REG-01,PH-001,
RCT-0000004,TXN-0000617,RCP-00000617,Original,2026-05-01 08:22:59,EMP-0034,REG-06,PH-002,
RCT-0000005,TXN-0003863,RCP-00003863,Original,2026-05-01 08:53:48,EMP-0108,REG-02,PH-005,
RCT-0000006,TXN-0003104,RCP-00003104,Original,2026-05-01 09:19:11,EMP-0042,REG-04,PH-002,
RCT-0000007,TXN-0004858,RCP-00004858,Original,2026-05-01 09:24:17,EMP-0046,REG-04,PH-003,
RCT-0000008,TXN-0000966,RCP-00000966,Original,2026-05-01 09:33:09,EMP-0068,REG-05,PH-004,
RCT-0000009,TXN-0000783,RCP-00000783,Original,2026-05-01 10:02:25,EMP-0024,REG-05,PH-002,
RCT-0000010,TXN-0004586,RCP-00004586,Original,2026-05-01 11:11:12,EMP-0024,REG-01,PH-002,
RCT-0000011,TXN-0002649,RCP-00002649,Original,2026-05-01 11:14:28,EMP-0006,REG-04,PH-001,
RCT-0000012,TXN-0004749,RCP-00004749,Original,2026-05-01 12:50:34,EMP-0023,REG-02,PH-002,
RCT-0000013,TXN-0001655,RCP-00001655,Original,2026-05-01 13:24:31,EMP-0086,REG-05,PH-004,
RCT-0000014,TXN-0003782,RCP-00003782,Original,2026-05-01 13:51:27,EMP-0039,REG-02,PH-002,
RCT-0000015,TXN-0001326,RCP-00001326,Original,2026-05-01 13:57:58,EMP-0067,REG-06,PH-004,
RCT-0000016,TXN-0002039,RCP-00002039,Original,2026-05-01 14:16:20,EMP-0046,REG-06,PH-003,
RCT-0000017,TXN-0003387,RCP-00003387,Original,2026-05-01 14:17:36,EMP-0102,REG-06,PH-005,
RCT-0000018,TXN-0002460,RCP-00002460,Original,2026-05-01 14:26:23,EMP-0036,REG-02,PH-002,
RCT-0000019,TXN-0002911,RCP-00002911,Original,2026-05-01 14:40:19,EMP-0014,REG-03,PH-001,
RCT-0000020,TXN-0003958,RCP-00003958,Original,2026-05-01 15:28:46,EMP-0046,REG-01,PH-003,
RCT-0000021,TXN-0000799,RCP-00000799,Original,2026-05-01 15:42:18,EMP-0020,REG-03,PH-001,
RCT-0000022,TXN-0003335,RCP-00003335,Original,2026-05-01 15:56:23,EMP-0035,REG-06,PH-002,
RCT-0000023,TXN-0004465,RCP-00004465,Original,2026-05-01 16:07:28,EMP-0060,REG-03,PH-003,
RCT-0000024,TXN-0003616,RCP-00003616,Original,2026-05-01 16:20:52,EMP-0067,REG-03,PH-004,
RCT-0000025,TXN-0002083,RCP-00002083,Original,2026-05-01 16:23:47,EMP-0041,REG-04,PH-002,
RCT-0000026,TXN-0001139,RCP-00001139,Original,2026-05-01 16:32:58,EMP-0090,REG-02,PH-005,
RCT-0000027,TXN-0000241,RCP-00000241,Original,2026-05-01 16:37:35,EMP-0034,REG-06,PH-002,
RCT-0000028,TXN-0004533,RCP-00004533,Original,2026-05-01 17:59:46,EMP-0014,REG-04,PH-001,
RCT-0000029,TXN-0002777,RCP-00002777,Original,2026-05-01 18:00:07,EMP-0012,REG-04,PH-001,
RCT-0000030,TXN-0000912,RCP-00000912,Original,2026-05-01 18:03:00,EMP-0067,REG-01,PH-004,
RCT-0000031,TXN-0004469,RCP-00004469,Original,2026-05-01 18:06:33,EMP-0064,REG-04,PH-003,
RCT-0000032,TXN-0004453,RCP-00004453,Original,2026-05-01 18:34:12,EMP-0101,REG-02,PH-005,
RCT-0000033,TXN-0003059,RCP-00003059,Original,2026-05-01 19:58:53,EMP-0040,REG-01,PH-002,
RCT-0000034,TXN-0000635,RCP-00000635,Original,2026-05-01 20:41:54,EMP-0082,REG-02,PH-004,
RCT-0000035,TXN-0001561,RCP-00001561,Original,2026-05-01 20:48:26,EMP-0069,REG-04,PH-004,
RCT-0000036,TXN-0003394,RCP-00003394,Original,2026-05-01 21:10:31,EMP-0039,REG-02,PH-002,
RCT-0000037,TXN-0004078,RCP-00004078,Original,2026-05-01 21:31:37,EMP-0083,REG-06,PH-004,
RCT-0000038,TXN-0000426,RCP-00000426,Original,2026-05-01 21:54:48,EMP-0013,REG-03,PH-001,
RCT-0000039,TXN-0000426,RCP-00000426,Gift Receipt,2026-05-01 21:55:48,EMP-0013,REG-03,PH-001,
RCT-0000040,TXN-0000431,RCP-00000431,Original,2026-05-02 08:05:36,EMP-0046,REG-03,PH-003,
RCT-0000041,TXN-0001710,RCP-00001710,Original,2026-05-02 08:06:48,EMP-0068,REG-05,PH-004,
RCT-0000042,TXN-0000637,RCP-00000637,Original,2026-05-02 08:18:23,EMP-0107,REG-05,PH-005,
RCT-0000043,TXN-0000471,RCP-00000471,Original,2026-05-02 08:27:04,EMP-0056,REG-03,PH-003,
RCT-0000044,TXN-0000645,RCP-00000645,Original,2026-05-02 08:31:00,EMP-0039,REG-01,PH-002,
RCT-0000045,TXN-0002215,RCP-00002215,Original,2026-05-02 08:36:38,EMP-0064,REG-05,PH-003,
RCT-0000046,TXN-0003613,RCP-00003613,Original,2026-05-02 08:53:56,EMP-0080,REG-05,PH-004,
RCT-0000047,TXN-0000451,RCP-00000451,Original,2026-05-02 08:57:18,EMP-0001,REG-04,PH-001,
RCT-0000048,TXN-0001506,RCP-00001506,Original,2026-05-02 09:00:31,EMP-0003,REG-03,PH-001,
RCT-0000049,TXN-0000430,RCP-00000430,Original,2026-05-02 09:42:50,EMP-0046,REG-04,PH-003,
RCT-0000050,TXN-0002342,RCP-00002342,Original,2026-05-02 09:55:57,EMP-0020,REG-05,PH-001,
RCT-0000051,TXN-0000548,RCP-00000548,Original,2026-05-02 10:12:23,EMP-0069,REG-05,PH-004,
RCT-0000052,TXN-0000616,RCP-00000616,Original,2026-05-02 10:16:35,EMP-0103,REG-06,PH-005,
RCT-0000053,TXN-0004517,RCP-00004517,Original,2026-05-02 10:39:55,EMP-0063,REG-06,PH-003,
RCT-0000054,TXN-0004494,RCP-00004494,Original,2026-05-02 11:08:23,EMP-0045,REG-02,PH-003,
RCT-0000055,TXN-0003991,RCP-00003991,Original,2026-05-02 11:41:23,EMP-0103,REG-04,PH-005,
RCT-0000056,TXN-0001833,RCP-00001833,Original,2026-05-02 11:45:43,EMP-0090,REG-06,PH-005,
RCT-0000057,TXN-0001385,RCP-00001385,Original,2026-05-02 11:56:28,EMP-0006,REG-03,PH-001,
RCT-0000058,TXN-0000113,RCP-00000113,Original,2026-05-02 12:13:12,EMP-0078,REG-01,PH-004,
RCT-0000059,TXN-0004215,RCP-00004215,Original,2026-05-02 12:13:32,EMP-0085,REG-02,PH-004,
RCT-0000060,TXN-0002635,RCP-00002635,Original,2026-05-02 13:01:31,EMP-0105,REG-05,PH-005,
RCT-0000061,TXN-0002607,RCP-00002607,Original,2026-05-02 13:38:48,EMP-0062,REG-05,PH-003,
RCT-0000062,TXN-0000071,RCP-00000071,Original,2026-05-02 13:55:21,EMP-0035,REG-03,PH-002,
RCT-0000063,TXN-0000021,RCP-00000021,Original,2026-05-02 13:59:05,EMP-0064,REG-01,PH-003,
RCT-0000064,TXN-0002221,RCP-00002221,Original,2026-05-02 14:55:18,EMP-0104,REG-04,PH-005,
RCT-0000065,TXN-0001520,RCP-00001520,Original,2026-05-02 15:00:43,EMP-0085,REG-02,PH-004,
RCT-0000066,TXN-0002707,RCP-00002707,Original,2026-05-02 15:15:12,EMP-0014,REG-01,PH-001,
RCT-0000067,TXN-0001905,RCP-00001905,Original,2026-05-02 15:41:25,EMP-0025,REG-02,PH-002,
RCT-0000068,TXN-0002042,RCP-00002042,Original,2026-05-02 15:51:34,EMP-0058,REG-06,PH-003,
RCT-0000069,TXN-0002796,RCP-00002796,Original,2026-05-02 16:32:09,EMP-0045,REG-02,PH-003,
RCT-0000070,TXN-0001587,RCP-00001587,Original,2026-05-02 17:02:15,EMP-0086,REG-06,PH-004,
RCT-0000071,TXN-0002380,RCP-00002380,Original,2026-05-02 17:07:46,EMP-0019,REG-02,PH-001,
RCT-0000072,TXN-0003062,RCP-00003062,Original,2026-05-02 17:07:56,EMP-0079,REG-04,PH-004,
RCT-0000073,TXN-0002558,RCP-00002558,Original,2026-05-02 17:32:18,EMP-0091,REG-06,PH-005,
RCT-0000074,TXN-0000396,RCP-00000396,Original,2026-05-02 17:35:48,EMP-0086,REG-03,PH-004,
RCT-0000075,TXN-0001541,RCP-00001541,Original,2026-05-02 17:41:46,EMP-0039,REG-01,PH-002,
RCT-0000076,TXN-0003022,RCP-00003022,Original,2026-05-02 17:43:08,EMP-0037,REG-02,PH-002,
RCT-0000077,TXN-0004893,RCP-00004893,Original,2026-05-02 17:49:23,EMP-0046,REG-01,PH-003,
RCT-0000078,TXN-0002792,RCP-00002792,Original,2026-05-02 17:59:07,EMP-0019,REG-04,PH-001,
RCT-0000079,TXN-0000611,RCP-00000611,Original,2026-05-02 18:02:22,EMP-0060,REG-05,PH-003,
RCT-0000080,TXN-0002772,RCP-00002772,Original,2026-05-02 18:03:34,EMP-0014,REG-02,PH-001,
RCT-0000081,TXN-0002536,RCP-00002536,Original,2026-05-02 18:23:58,EMP-0040,REG-03,PH-002,
RCT-0000082,TXN-0001418,RCP-00001418,Original,2026-05-02 18:51:30,EMP-0036,REG-02,PH-002,
RCT-0000083,TXN-0000279,RCP-00000279,Original,2026-05-02 19:01:44,EMP-0002,REG-01,PH-001,
RCT-0000084,TXN-0000877,RCP-00000877,Original,2026-05-02 19:21:30,EMP-0086,REG-02,PH-004,
RCT-0000085,TXN-0003301,RCP-00003301,Original,2026-05-02 20:04:03,EMP-0042,REG-01,PH-002,
RCT-0000086,TXN-0001547,RCP-00001547,Original,2026-05-02 20:35:44,EMP-0063,REG-01,PH-003,
RCT-0000087,TXN-0002382,RCP-00002382,Original,2026-05-02 20:50:23,EMP-0002,REG-02,PH-001,
RCT-0000088,TXN-0000901,RCP-00000901,Original,2026-05-02 20:50:47,EMP-0080,REG-03,PH-004,
RCT-0000089,TXN-0004790,RCP-00004790,Original,2026-05-02 20:57:20,EMP-0002,REG-01,PH-001,
RCT-0000090,TXN-0004316,RCP-00004316,Original,2026-05-02 21:12:06,EMP-0017,REG-01,PH-001,
RCT-0000091,TXN-0001145,RCP-00001145,Original,2026-05-02 21:59:42,EMP-0002,REG-03,PH-001,
RCT-0000092,TXN-0003730,RCP-00003730,Original,2026-05-03 08:06:15,EMP-0042,REG-04,PH-002,
RCT-0000093,TXN-0001740,RCP-00001740,Original,2026-05-03 08:07:47,EMP-0101,REG-03,PH-005,
RCT-0000094,TXN-0002258,RCP-00002258,Original,2026-05-03 08:09:56,EMP-0101,REG-02,PH-005,
RCT-0000095,TXN-0002149,RCP-00002149,Original,2026-05-03 08:10:28,EMP-0013,REG-04,PH-001,
RCT-0000096,TXN-0003031,RCP-00003031,Original,2026-05-03 08:18:11,EMP-0003,REG-06,PH-001,
RCT-0000097,TXN-0004594,RCP-00004594,Original,2026-05-03 08:31:34,EMP-0060,REG-04,PH-003,
RCT-0000098,TXN-0001019,RCP-00001019,Original,2026-05-03 08:36:20,EMP-0035,REG-03,PH-002,
RCT-0000099,TXN-0003658,RCP-00003658,Original,2026-05-03 08:51:42,EMP-0014,REG-05,PH-001,
RCT-0000100,TXN-0003317,RCP-00003317,Original,2026-05-03 08:53:40,EMP-0085,REG-01,PH-004,
RCT-0000101,TXN-0004899,RCP-00004899,Original,2026-05-03 09:27:29,EMP-0106,REG-06,PH-005,
RCT-0000102,TXN-0000707,RCP-00000707,Original,2026-05-03 09:32:12,EMP-0002,REG-06,PH-001,
RCT-0000103,TXN-0004522,RCP-00004522,Original,2026-05-03 09:37:39,EMP-0059,REG-06,PH-003,
RCT-0000104,TXN-0004235,RCP-00004235,Original,2026-05-03 09:38:29,EMP-0062,REG-02,PH-003,
RCT-0000105,TXN-0000895,RCP-00000895,Original,2026-05-03 10:08:28,EMP-0036,REG-04,PH-002,
RCT-0000106,TXN-0001814,RCP-00001814,Original,2026-05-03 10:45:05,EMP-0046,REG-02,PH-003,
RCT-0000107,TXN-0001578,RCP-00001578,Original,2026-05-03 10:46:56,EMP-0019,REG-04,PH-001,
RCT-0000108,TXN-0001171,RCP-00001171,Original,2026-05-03 11:06:30,EMP-0081,REG-03,PH-004,
RCT-0000109,TXN-0000116,RCP-00000116,Original,2026-05-03 11:11:06,EMP-0062,REG-05,PH-003,
RCT-0000110,TXN-0001768,RCP-00001768,Original,2026-05-03 11:26:42,EMP-0064,REG-02,PH-003,
RCT-0000111,TXN-0001612,RCP-00001612,Original,2026-05-03 11:30:21,EMP-0069,REG-05,PH-004,
RCT-0000112,TXN-0004452,RCP-00004452,Original,2026-05-03 11:41:54,EMP-0012,REG-04,PH-001,
RCT-0000113,TXN-0004442,RCP-00004442,Original,2026-05-03 12:10:04,EMP-0023,REG-05,PH-002,
RCT-0000114,TXN-0001683,RCP-00001683,Original,2026-05-03 12:20:20,EMP-0037,REG-01,PH-002,
RCT-0000115,TXN-0002529,RCP-00002529,Original,2026-05-03 12:29:45,EMP-0064,REG-05,PH-003,
RCT-0000116,TXN-0002915,RCP-00002915,Original,2026-05-03 12:42:33,EMP-0080,REG-05,PH-004,
RCT-0000117,TXN-0004183,RCP-00004183,Original,2026-05-03 12:56:06,EMP-0016,REG-02,PH-001,
RCT-0000118,TXN-0002378,RCP-00002378,Original,2026-05-03 13:13:26,EMP-0091,REG-03,PH-005,
RCT-0000119,TXN-0004558,RCP-00004558,Original,2026-05-03 13:16:17,EMP-0082,REG-01,PH-004,
RCT-0000120,TXN-0004332,RCP-00004332,Original,2026-05-03 13:53:58,EMP-0041,REG-04,PH-002,
RCT-0000121,TXN-0003973,RCP-00003973,Original,2026-05-03 13:55:40,EMP-0091,REG-06,PH-005,
RCT-0000122,TXN-0000033,RCP-00000033,Original,2026-05-03 14:14:48,EMP-0024,REG-02,PH-002,
RCT-0000123,TXN-0004208,RCP-00004208,Original,2026-05-03 14:52:38,EMP-0059,REG-03,PH-003,
RCT-0000124,TXN-0003103,RCP-00003103,Original,2026-05-03 15:03:23,EMP-0105,REG-04,PH-005,
RCT-0000125,TXN-0001478,RCP-00001478,Original,2026-05-03 15:07:29,EMP-0016,REG-05,PH-001,
RCT-0000126,TXN-0001322,RCP-00001322,Original,2026-05-03 15:14:58,EMP-0042,REG-02,PH-002,
RCT-0000127,TXN-0001035,RCP-00001035,Original,2026-05-03 15:21:01,EMP-0102,REG-06,PH-005,
RCT-0000128,TXN-0002479,RCP-00002479,Original,2026-05-03 16:08:46,EMP-0035,REG-05,PH-002,
RCT-0000129,TXN-0003556,RCP-00003556,Original,2026-05-03 16:15:48,EMP-0047,REG-05,PH-003,
RCT-0000130,TXN-0003923,RCP-00003923,Original,2026-05-03 16:23:33,EMP-0089,REG-01,PH-005,
RCT-0000131,TXN-0002616,RCP-00002616,Original,2026-05-03 16:30:10,EMP-0019,REG-04,PH-001,
RCT-0000132,TXN-0003417,RCP-00003417,Original,2026-05-03 16:46:32,EMP-0015,REG-04,PH-001,
RCT-0000133,TXN-0004201,RCP-00004201,Original,2026-05-03 16:52:25,EMP-0034,REG-05,PH-002,
RCT-0000134,TXN-0004004,RCP-00004004,Original,2026-05-03 17:18:50,EMP-0025,REG-05,PH-002,
RCT-0000135,TXN-0000030,RCP-00000030,Original,2026-05-03 18:00:11,EMP-0059,REG-06,PH-003,
RCT-0000136,TXN-0003695,RCP-00003695,Original,2026-05-03 18:08:01,EMP-0023,REG-04,PH-002,
RCT-0000137,TXN-0001376,RCP-00001376,Original,2026-05-03 18:18:17,EMP-0108,REG-06,PH-005,
RCT-0000138,TXN-0001672,RCP-00001672,Original,2026-05-03 18:30:27,EMP-0060,REG-01,PH-003,
RCT-0000139,TXN-0002472,RCP-00002472,Original,2026-05-03 18:38:32,EMP-0081,REG-04,PH-004,
RCT-0000140,TXN-0001350,RCP-00001350,Original,2026-05-03 18:41:41,EMP-0025,REG-04,PH-002,
RCT-0000141,TXN-0002323,RCP-00002323,Original,2026-05-03 19:12:56,EMP-0017,REG-05,PH-001,
RCT-0000142,TXN-0000047,RCP-00000047,Original,2026-05-03 19:20:48,EMP-0036,REG-02,PH-002,
RCT-0000143,TXN-0003839,RCP-00003839,Original,2026-05-03 19:27:33,EMP-0080,REG-06,PH-004,
RCT-0000144,TXN-0003834,RCP-00003834,Original,2026-05-03 19:28:53,EMP-0064,REG-06,PH-003,
RCT-0000145,TXN-0002231,RCP-00002231,Original,2026-05-03 20:48:59,EMP-0002,REG-04,PH-001,
RCT-0000146,TXN-0001167,RCP-00001167,Original,2026-05-03 20:54:52,EMP-0020,REG-04,PH-001,
RCT-0000147,TXN-0004896,RCP-00004896,Original,2026-05-03 20:56:58,EMP-0020,REG-05,PH-001,
RCT-0000148,TXN-0004169,RCP-00004169,Original,2026-05-03 21:16:24,EMP-0102,REG-05,PH-005,
RCT-0000149,TXN-0004789,RCP-00004789,Original,2026-05-03 21:30:03,EMP-0062,REG-04,PH-003,
RCT-0000150,TXN-0004713,RCP-00004713,Original,2026-05-03 21:41:50,EMP-0018,REG-04,PH-001,
RCT-0000151,TXN-0004748,RCP-00004748,Original,2026-05-03 21:42:06,EMP-0080,REG-04,PH-004,
RCT-0000152,TXN-0001239,RCP-00001239,Original,2026-05-03 21:49:52,EMP-0039,REG-06,PH-002,
RCT-0000153,TXN-0001541,RCP-00001541,Reprint,2026-05-04 03:40:46,EMP-0035,REG-06,PH-002,Customer request
RCT-0000154,TXN-0001617,RCP-00001617,Original,2026-05-04 08:23:29,EMP-0025,REG-03,PH-002,
RCT-0000155,TXN-0000057,RCP-00000057,Original,2026-05-04 08:34:11,EMP-0086,REG-04,PH-004,
RCT-0000156,TXN-0003948,RCP-00003948,Original,2026-05-04 08:39:31,EMP-0063,REG-02,PH-003,
RCT-0000157,TXN-0004315,RCP-00004315,Original,2026-05-04 08:42:56,EMP-0078,REG-02,PH-004,
RCT-0000158,TXN-0000502,RCP-00000502,Original,2026-05-04 08:47:04,EMP-0069,REG-03,PH-004,
RCT-0000159,TXN-0003403,RCP-00003403,Original,2026-05-04 09:30:04,EMP-0047,REG-01,PH-003,
RCT-0000160,TXN-0004555,RCP-00004555,Original,2026-05-04 09:31:21,EMP-0015,REG-06,PH-001,
RCT-0000161,TXN-0000469,RCP-00000469,Original,2026-05-04 09:38:13,EMP-0058,REG-04,PH-003,
RCT-0000162,TXN-0001806,RCP-00001806,Original,2026-05-04 09:41:58,EMP-0040,REG-03,PH-002,
RCT-0000163,TXN-0004409,RCP-00004409,Original,2026-05-04 09:57:43,EMP-0068,REG-01,PH-004,
RCT-0000164,TXN-0003140,RCP-00003140,Original,2026-05-04 10:01:32,EMP-0080,REG-04,PH-004,
RCT-0000165,TXN-0002304,RCP-00002304,Original,2026-05-04 10:15:51,EMP-0015,REG-06,PH-001,
