refund_item_id,refund_id,product_id,quantity,original_unit_price,refunded_amount,returned_to_inventory,item_condition,disposal_required
RLI-0000001,REF-000001,PRD-00707,4,58.68,234.72,True,Resellable,False
RLI-0000002,REF-000002,PRD-00213,1,25.92,25.92,True,Resellable,False
RLI-0000003,REF-000002,PRD-00070,1,25.86,25.86,True,Resellable,False
RLI-0000004,REF-000003,PRD-00156,1,40.93,40.93,True,Resellable,False
RLI-0000005,REF-000004,PRD-00617,1,1.86,1.86,True,Resellable,False
RLI-0000006,REF-000004,PRD-00221,1,31.12,31.12,True,Resellable,False
RLI-0000007,REF-000005,PRD-00412,1,17.61,17.61,True,Resellable,False
RLI-0000008,REF-000005,PRD-00294,1,42.79,40.65,True,Resellable,False
RLI-0000009,REF-000006,PRD-00135,2,2.01,4.02,True,Resellable,False
RLI-0000010,REF-000007,PRD-00410,1,14.49,14.49,True,Resellable,False
RLI-0000011,REF-000008,PRD-00660,1,23.43,21.09,True,Resellable,False
RLI-0000012,REF-000008,PRD-00015,1,12.99,12.99,True,Resellable,False
RLI-0000013,REF-000009,PRD-00106,1,37.72,37.72,True,Resellable,False
RLI-0000014,REF-000009,PRD-00680,1,28.92,28.92,True,Resellable,False
RLI-0000015,REF-000010,PRD-00762,1,2.95,2.36,True,Resellable,False
RLI-0000016,REF-000011,PRD-00121,2,20.59,41.18,True,Resellable,False
RLI-0000017,REF-000011,PRD-00522,1,23.47,18.78,True,Resellable,False
RLI-0000018,REF-000012,PRD-00145,1,5.51,5.51,True,Resellable,False
RLI-0000019,REF-000013,PRD-00224,1,5.6,5.6,True,Resellable,False
RLI-0000020,REF-000014,PRD-00357,1,2.75,2.75,True,Resellable,False
RLI-0000021,REF-000015,PRD-00256,1,45.01,45.01,True,Resellable,False
RLI-0000022,REF-000016,PRD-00421,3,16.22,48.66,True,Resellable,False
RLI-0000023,REF-000017,PRD-00753,1,12.02,12.02,True,Resellable,False
RLI-0000024,REF-000017,PRD-00302,4,64.47,257.88,True,Resellable,False
RLI-0000025,REF-000018,PRD-00090,1,16.77,16.77,True,Resellable,False
RLI-0000026,REF-000019,PRD-00723,1,4.4,4.4,True,Resellable,False
RLI-0000027,REF-000020,PRD-00557,1,6.71,6.71,True,Resellable,False
RLI-0000028,REF-000021,PRD-00010,1,37.47,37.47,True,Resellable,False
RLI-0000029,REF-000022,PRD-00737,2,30.03,60.06,True,Resellable,False
RLI-0000030,REF-000022,PRD-00285,1,9.92,9.92,True,Resellable,False
RLI-0000031,REF-000023,PRD-00192,4,66.69,266.76,True,Resellable,False
RLI-0000032,REF-000024,PRD-00275,1,42.92,42.92,True,Resellable,False
RLI-0000033,REF-000024,PRD-00059,1,17.28,17.28,True,Resellable,False
RLI-0000034,REF-000025,PRD-00182,2,22.01,44.02,True,Resellable,False
RLI-0000035,REF-000025,PRD-00054,1,7.18,7.18,True,Resellable,False
RLI-0000036,REF-000026,PRD-00783,4,34.42,137.68,True,Resellable,False
