refund_id,refund_transaction_id,original_transaction_id,store_id,register_id,employee_id,approving_manager_id,customer_id,refund_datetime,refund_amount,refund_method,refund_reason,original_receipt_present,days_after_purchase,manager_override,risk_score,flagged,flag_reason
REF-000001,RTX-000001,TXN-0004875,PH-001,REG-01,EMP-0006,EMP-0001,CUS-00023,2026-07-26 20:26:00,234.72,Cash,Product Defective,False,22,True,90,True,No receipt; After 8 PM; High value
REF-000002,RTX-000002,TXN-0002019,PH-001,REG-02,EMP-0006,EMP-0001,CUS-00802,2026-07-13 14:25:00,51.78,Gift Card,Other,False,36,True,50,True,No receipt
REF-000003,RTX-000003,TXN-0000626,PH-001,REG-02,EMP-0006,EMP-0013,CUS-00446,2026-07-04 20:25:00,40.93,Gift Card,No Receipt,False,12,True,70,True,No receipt; After 8 PM
REF-000004,RTX-000004,TXN-0002150,PH-001,REG-02,EMP-0006,EMP-0001,,2026-07-15 14:42:00,32.98,Gift Card,Customer Changed Mind,False,15,True,50,True,No receipt
REF-000005,RTX-000005,TXN-0001691,PH-001,REG-05,EMP-0006,EMP-0012,CUS-04618,2026-07-19 13:47:00,58.26,Gift Card,No Receipt,False,29,True,50,True,No receipt
REF-000006,RTX-000006,TXN-0000814,PH-001,REG-06,EMP-0006,EMP-0003,CUS-04022,2026-07-02 13:15:00,4.02,Cash,Customer Changed Mind,False,23,True,50,True,No receipt
REF-000007,RTX-000007,TXN-0002379,PH-001,REG-03,EMP-0006,EMP-0003,CUS-02118,2026-07-25 21:13:00,14.49,Gift Card,Incorrect Product,False,77,True,70,True,No receipt; After 8 PM
REF-000008,RTX-000008,TXN-0004114,PH-001,REG-01,EMP-0006,EMP-0003,CUS-03764,2026-07-03 12:12:00,34.08,Cash,Product Defective,False,-19,True,50,True,No receipt
REF-000009,RTX-000009,TXN-0000266,PH-001,REG-01,EMP-0006,EMP-0002,CUS-02665,2026-07-31 21:02:00,66.64,Gift Card,Incorrect Product,False,0,True,70,True,No receipt; After 8 PM
REF-000010,RTX-000010,TXN-0001076,PH-001,REG-05,EMP-0006,EMP-0001,CUS-04598,2026-07-04 12:45:00,2.36,Original Payment,Other,False,-6,True,50,True,No receipt
REF-000011,RTX-000011,TXN-0002610,PH-001,REG-02,EMP-0006,EMP-0003,,2026-07-04 21:48:00,59.96,Original Payment,Incorrect Product,False,-23,True,70,True,No receipt; After 8 PM
REF-000012,RTX-000012,TXN-0000917,PH-001,REG-05,EMP-0006,EMP-0001,CUS-02880,2026-07-31 13:56:00,5.51,Cash,Customer Changed Mind,False,87,True,50,True,No receipt
REF-000013,RTX-000013,TXN-0001169,PH-001,REG-06,EMP-0006,EMP-0003,CUS-03815,2026-07-03 14:58:00,5.6,Cash,Product Defective,False,29,True,50,True,No receipt
REF-000014,RTX-000014,TXN-0002569,PH-001,REG-01,EMP-0006,EMP-0012,,2026-07-16 14:46:00,2.75,Cash,Product Defective,False,57,True,50,True,No receipt
REF-000015,RTX-000015,TXN-0003960,PH-001,REG-06,EMP-0006,EMP-0003,CUS-04386,2026-07-28 12:06:00,45.01,Gift Card,Incorrect Product,False,36,True,50,True,No receipt
REF-000016,RTX-000016,TXN-0002761,PH-001,REG-02,EMP-0006,EMP-0002,,2026-07-29 12:22:00,48.66,Cash,Other,False,81,True,50,True,No receipt
REF-000017,RTX-000017,TXN-0002749,PH-001,REG-06,EMP-0006,EMP-0012,,2026-07-12 20:21:00,269.9,Original Payment,Customer Changed Mind,False,57,True,90,True,No receipt; After 8 PM; High value
REF-000018,RTX-000018,TXN-0000702,PH-001,REG-06,EMP-0006,EMP-0012,CUS-00916,2026-07-29 21:30:00,16.77,Cash,Other,False,69,True,70,True,No receipt; After 8 PM
REF-000019,RTX-000019,TXN-0001457,PH-001,REG-05,EMP-0006,EMP-0001,CUS-02213,2026-07-29 13:09:00,4.4,Cash,Other,False,2,True,50,True,No receipt
REF-000020,RTX-000020,TXN-0003221,PH-001,REG-05,EMP-0006,EMP-0001,CUS-03977,2026-07-12 21:05:00,6.71,Gift Card,Product Defective,False,-11,True,70,True,No receipt; After 8 PM
REF-000021,RTX-000021,TXN-0001936,PH-001,REG-05,EMP-0006,EMP-0002,CUS-03184,2026-07-11 12:50:00,37.47,Original Payment,Product Defective,True,68,True,15,False,
REF-000022,RTX-000022,TXN-0000597,PH-001,REG-01,EMP-0006,EMP-0002,CUS-04001,2026-07-18 14:30:00,69.98,Cash,No Receipt,True,72,True,15,False,
REF-000023,RTX-000023,TXN-0004773,PH-001,REG-04,EMP-0006,EMP-0002,CUS-01349,2026-07-20 14:19:00,266.76,Original Payment,Product Defective,True,47,True,35,False,High value
REF-000024,RTX-000024,TXN-0004970,PH-001,REG-03,EMP-0006,EMP-0012,CUS-01392,2026-07-28 20:49:00,60.2,Gift Card,Customer Changed Mind,True,56,True,35,False,After 8 PM
REF-000025,RTX-000025,TXN-0004629,PH-001,REG-04,EMP-0006,EMP-0013,CUS-01135,2026-07-23 12:08:00,51.2,Original Payment,Product Defective,True,77,True,15,False,
REF-000026,RTX-000026,TXN-0001702,PH-001,REG-04,EMP-0006,EMP-0012,CUS-03007,2026-07-11 20:50:00,168.0,Gift Card,Product Defective,True,49,True,55,True,After 8 PM; High value
REF-000027,RTX-000027,TXN-0004342,PH-001,REG-04,EMP-0006,EMP-0003,,2026-07-15 20:54:00,79.35,Original Payment,No Receipt,True,9,True,55,True,After 8 PM; High value
REF-000028,RTX-000028,TXN-0001717,PH-001,REG-03,EMP-0006,EMP-0002,,2026-07-29 20:16:00,34.01,Gift Card,No Receipt,True,86,True,35,False,After 8 PM
REF-000029,RTX-000029,TXN-0004056,PH-001,REG-04,EMP-0006,EMP-0001,CUS-03325,2026-07-06 21:02:00,33.7,Gift Card,Other,True,47,True,35,False,After 8 PM
REF-000030,RTX-000030,TXN-0002121,PH-001,REG-01,EMP-0006,EMP-0003,CUS-02292,2026-07-09 12:19:00,55.19,Gift Card,Incorrect Product,True,42,True,15,False,
REF-000031,RTX-000031,TXN-0002746,PH-001,REG-06,EMP-0006,EMP-0012,,2026-07-03 13:39:00,47.09,Cash,No Receipt,True,20,True,15,False,
REF-000032,RTX-000032,TXN-0001310,PH-001,REG-02,EMP-0006,EMP-0002,CUS-01824,2026-07-09 20:38:00,51.17,Gift Card,Other,True,31,True,35,False,After 8 PM
REF-000033,RTX-000033,TXN-0002100,PH-001,REG-03,EMP-0006,EMP-0013,CUS-03733,2026-07-29 20:21:00,51.58,Cash,No Receipt,True,38,True,35,False,After 8 PM
REF-000034,RTX-000034,TXN-0002648,PH-001,REG-01,EMP-0006,EMP-0003,CUS-03546,2026-07-11 12:41:00,24.33,Original Payment,Customer Changed Mind,True,20,True,15,False,
REF-000035,RTX-000035,TXN-0001998,PH-001,REG-06,EMP-0006,EMP-0001,,2026-07-18 21:05:00,56.04,Cash,Product Defective,True,24,True,35,False,After 8 PM
REF-000036,RTX-000036,TXN-0002986,PH-001,REG-05,EMP-0006,EMP-0003,CUS-01082,2026-07-29 20:08:00,86.12,Original Payment,No Receipt,True,69,True,55,True,After 8 PM; High value
REF-000037,RTX-000037,TXN-0003656,PH-001,REG-02,EMP-0006,EMP-0003,CUS-04455,2026-07-02 12:21:00,211.87,Cash,No Receipt,True,49,True,35,False,High value
REF-000038,RTX-000038,TXN-0000633,PH-001,REG-02,EMP-0006,EMP-0003,CUS-01933,2026-07-07 20:53:00,42.61,Original Payment,Product Defective,True,33,True,35,False,After 8 PM
REF-000039,RTX-000039,TXN-0003313,PH-001,REG-02,EMP-0006,EMP-0001,CUS-01894,2026-07-08 21:57:00,50.91,Gift Card,Product Defective,True,-18,True,35,False,After 8 PM
REF-000040,RTX-000040,TXN-0003617,PH-001,REG-04,EMP-0006,EMP-0012,,2026-07-06 21:41:00,68.02,Original Payment,Other,True,47,True,35,False,After 8 PM
REF-000041,RTX-000041,TXN-0000201,PH-001,REG-05,EMP-0006,EMP-0003,,2026-07-17 21:08:00,2.92,Original Payment,Incorrect Product,True,40,True,35,False,After 8 PM
REF-000042,RTX-000042,TXN-0000524,PH-001,REG-06,EMP-0006,EMP-0001,CUS-03682,2026-07-01 13:53:00,66.76,Gift Card,Customer Changed Mind,True,31,True,15,False,
REF-000043,RTX-000043,TXN-0004833,PH-001,REG-01,EMP-0006,EMP-0012,,2026-07-21 14:20:00,192.68,Gift Card,No Receipt,True,7,True,35,False,High value
REF-000044,RTX-000044,TXN-0001141,PH-001,REG-05,EMP-0006,EMP-0001,,2026-07-04 14:29:00,13.24,Gift Card,Product Defective,True,35,True,15,False,
REF-000045,RTX-000045,TXN-0000232,PH-001,REG-05,EMP-0006,EMP-0001,CUS-04800,2026-07-27 12:46:00,61.54,Original Payment,No Receipt,True,83,True,15,False,
REF-000046,RTX-000046,TXN-0000607,PH-001,REG-02,EMP-0006,EMP-0013,,2026-07-21 21:50:00,7.59,Original Payment,Incorrect Product,True,-9,True,35,False,After 8 PM
REF-000047,RTX-000047,TXN-0002203,PH-001,REG-03,EMP-0006,EMP-0013,,2026-07-05 12:46:00,145.37,Cash,Incorrect Product,True,47,True,35,False,High value
REF-000048,RTX-000048,TXN-0002877,PH-001,REG-01,EMP-0006,EMP-0003,CUS-03322,2026-07-28 21:47:00,5.12,Original Payment,Product Defective,True,3,True,35,False,After 8 PM
