transaction_item_id,transaction_id,product_id,quantity,unit_price,unit_cost,discount_amount,tax_amount,line_total,override_applied,override_employee_id,department
LI-00000001,TXN-0000001,PRD-00735,1,53.77,34.77,0,4.44,53.77,False,,Beverages
LI-00000002,TXN-0000001,PRD-00367,2,52.99,30.02,0,8.74,105.98,False,,Beauty
LI-00000003,TXN-0000001,PRD-00702,1,29.8,16.54,0,2.46,29.8,False,,Household
LI-00000004,TXN-0000001,PRD-00471,1,47.48,33.5,0,3.92,47.48,False,,Snacks
LI-00000005,TXN-0000001,PRD-00773,1,12.69,8.28,1.27,0.94,11.42,False,,Snacks
LI-00000006,TXN-0000001,PRD-00469,1,16.18,7.17,0,1.33,16.18,False,,Vitamins & Supplements
LI-00000007,TXN-0000001,PRD-00784,1,22.66,16.69,0,1.87,22.66,False,,OTC Medication
LI-00000008,TXN-0000002,PRD-00362,1,45.52,29.24,0,3.76,45.52,False,,Beauty
LI-00000009,TXN-0000003,PRD-00412,1,17.61,10.35,0,1.45,17.61,False,,OTC Medication
LI-00000010,TXN-0000003,PRD-00302,1,64.47,32.6,0,5.32,64.47,False,,Medical Supplies
LI-00000011,TXN-0000003,PRD-00648,4,54.9,26.29,0,18.12,219.6,False,,Grocery
LI-00000012,TXN-0000003,PRD-00254,1,7.67,3.92,0,0.63,7.67,False,,Medical Supplies
LI-00000013,TXN-0000004,PRD-00278,2,45.88,27.59,0,7.57,91.76,False,,Household
LI-00000014,TXN-0000004,PRD-00025,4,37.64,23.52,0,12.42,150.56,False,,Beverages
LI-00000015,TXN-0000005,PRD-00424,1,2.38,1.0,0,0.2,2.38,False,,Medical Supplies
LI-00000016,TXN-0000005,PRD-00218,1,42.58,19.35,0,3.51,42.58,False,,Beauty
LI-00000017,TXN-0000005,PRD-00523,1,25.64,13.16,1.28,2.01,24.36,False,,First Aid
LI-00000018,TXN-0000005,PRD-00182,1,22.01,15.95,0,1.82,22.01,False,,Medical Supplies
LI-00000019,TXN-0000005,PRD-00068,1,43.22,20.95,0,3.57,43.22,False,,Vitamins & Supplements
LI-00000020,TXN-0000005,PRD-00273,2,55.94,31.55,0,9.23,111.88,False,,OTC Medication
LI-00000021,TXN-0000005,PRD-00260,1,35.1,26.14,0,2.9,35.1,False,,Grocery
LI-00000022,TXN-0000006,PRD-00105,1,6.63,4.46,1.33,0.44,5.3,False,,Seasonal
LI-00000023,TXN-0000006,PRD-00154,1,7.19,3.39,0.72,0.53,6.47,False,,First Aid
LI-00000024,TXN-0000006,PRD-00365,1,21.59,11.17,0,1.78,21.59,False,,Vitamins & Supplements
LI-00000025,TXN-0000006,PRD-00263,1,39.05,17.47,0,3.22,39.05,False,,Personal Care
LI-00000026,TXN-0000006,PRD-00583,1,55.99,33.18,0,4.62,55.99,False,,Snacks
LI-00000027,TXN-0000007,PRD-00261,3,15.36,8.63,0,3.8,46.08,False,,Beauty
LI-00000028,TXN-0000007,PRD-00200,1,64.75,28.61,0,5.34,64.75,False,,Grocery
LI-00000029,TXN-0000007,PRD-00588,4,1.92,1.41,0,0.63,7.68,False,,Beauty
LI-00000030,TXN-0000007,PRD-00717,1,13.91,8.48,0,1.15,13.91,False,,Grocery
LI-00000031,TXN-0000007,PRD-00738,1,6.74,3.71,0.34,0.53,6.4,False,,Seasonal
LI-00000032,TXN-0000007,PRD-00154,3,7.19,3.39,2.16,1.6,19.41,False,,First Aid
LI-00000033,TXN-0000008,PRD-00525,1,3.98,2.23,0,0.33,3.98,False,,Medical Supplies
LI-00000034,TXN-0000008,PRD-00093,1,7.46,3.45,0,0.62,7.46,False,,Seasonal
LI-00000035,TXN-0000008,PRD-00348,1,36.36,25.85,1.82,2.85,34.54,False,,Household
LI-00000036,TXN-0000009,PRD-00613,1,40.73,24.81,0,3.36,40.73,False,,Medical Supplies
LI-00000037,TXN-0000009,PRD-00675,1,46.08,31.02,4.61,3.42,41.47,False,,Beverages
LI-00000038,TXN-0000010,PRD-00056,1,34.81,20.67,0,2.87,34.81,False,,Grocery
LI-00000039,TXN-0000010,PRD-00398,1,23.59,15.4,0,1.95,23.59,False,,Personal Care
LI-00000040,TXN-0000010,PRD-00713,1,39.51,23.44,0,3.26,39.51,False,,Grocery
LI-00000041,TXN-0000010,PRD-00044,4,10.2,7.58,0,3.37,40.8,False,,Medical Supplies
LI-00000042,TXN-0000011,PRD-00319,1,50.44,28.34,0,4.16,50.44,False,,Personal Care
LI-00000043,TXN-0000011,PRD-00023,1,5.93,3.15,0,0.49,5.93,False,,Medical Supplies
LI-00000044,TXN-0000011,PRD-00532,1,18.27,13.44,0,1.51,18.27,False,,Medical Supplies
LI-00000045,TXN-0000012,PRD-00693,3,29.63,19.57,0,7.33,88.89,False,,Vitamins & Supplements
LI-00000046,TXN-0000012,PRD-00625,1,56.6,23.82,0,4.67,56.6,False,,Beverages
LI-00000047,TXN-0000012,PRD-00233,1,51.48,22.63,0,4.25,51.48,False,,Medical Supplies
LI-00000048,TXN-0000012,PRD-00464,1,2.2,1.36,0,0.18,2.2,False,,Vitamins & Supplements
LI-00000049,TXN-0000012,PRD-00526,1,13.9,9.6,0,1.15,13.9,False,,OTC Medication
LI-00000050,TXN-0000013,PRD-00711,2,46.67,19.93,0,7.7,93.34,False,,Beverages
LI-00000051,TXN-0000013,PRD-00744,1,51.3,22.68,0,4.23,51.3,False,,OTC Medication
LI-00000052,TXN-0000013,PRD-00500,1,15.34,11.07,0,1.27,15.34,False,,Household
LI-00000053,TXN-0000013,PRD-00238,1,8.6,5.27,0,0.71,8.6,False,,Vitamins & Supplements
LI-00000054,TXN-0000013,PRD-00669,1,21.75,15.03,4.35,1.44,17.4,False,,Household
LI-00000055,TXN-0000014,PRD-00016,1,70.87,34.19,0,5.85,70.87,False,,Seasonal
LI-00000056,TXN-0000014,PRD-00122,1,21.78,9.48,0,1.8,21.78,False,,Household
LI-00000057,TXN-0000014,PRD-00168,3,28.3,15.02,0,7.0,84.9,False,,Seasonal
LI-00000058,TXN-0000014,PRD-00296,4,38.52,21.73,15.41,11.44,138.67,False,,Medical Supplies
LI-00000059,TXN-0000014,PRD-00753,1,12.02,8.73,0,0.99,12.02,False,,Snacks
LI-00000060,TXN-0000015,PRD-00760,1,1.4,0.97,0,0.12,1.4,False,,Personal Care
LI-00000061,TXN-0000015,PRD-00072,1,52.45,29.38,0,4.33,52.45,False,,OTC Medication
LI-00000062,TXN-0000015,PRD-00034,1,33.7,22.22,0,2.78,33.7,False,,First Aid
LI-00000063,TXN-0000015,PRD-00037,1,56.96,31.74,0,4.7,56.96,False,,OTC Medication
LI-00000064,TXN-0000015,PRD-00661,1,54.23,24.44,0,4.47,54.23,False,,Snacks
LI-00000065,TXN-0000016,PRD-00181,1,30.11,13.15,3.01,2.24,27.1,False,,Vitamins & Supplements
LI-00000066,TXN-0000016,PRD-00169,1,3.6,2.24,0,0.3,3.6,False,,Vitamins & Supplements
LI-00000067,TXN-0000016,PRD-00381,1,2.8,2.05,0,0.23,2.8,False,,Snacks
LI-00000068,TXN-0000016,PRD-00179,2,78.5,34.32,0,12.95,157.0,False,,Seasonal
LI-00000069,TXN-0000016,PRD-00515,1,6.11,3.85,0,0.5,6.11,False,,Personal Care
LI-00000070,TXN-0000016,PRD-00372,1,11.77,8.1,0,0.97,11.77,False,,Medical Supplies
LI-00000071,TXN-0000017,PRD-00246,1,12.35,8.99,0,1.02,12.35,False,,OTC Medication
LI-00000072,TXN-0000017,PRD-00660,1,23.43,16.19,0,1.93,23.43,False,,Personal Care
LI-00000073,TXN-0000017,PRD-00150,1,7.58,3.99,0,0.63,7.58,False,,Medical Supplies
LI-00000074,TXN-0000017,PRD-00555,1,47.46,31.38,0,3.92,47.46,False,,Snacks
LI-00000075,TXN-0000017,PRD-00602,3,19.88,11.84,0,4.92,59.64,False,,Seasonal
LI-00000076,TXN-0000017,PRD-00630,1,19.68,12.68,0,1.62,19.68,False,,Medical Supplies
LI-00000077,TXN-0000018,PRD-00265,1,28.83,18.07,0,2.38,28.83,False,,Vitamins & Supplements
LI-00000078,TXN-0000019,PRD-00144,1,5.12,3.09,0.77,0.36,4.35,False,,Medical Supplies
LI-00000079,TXN-0000019,PRD-00688,1,65.64,28.91,3.28,5.14,62.36,False,,Beauty
LI-00000080,TXN-0000019,PRD-00281,1,1.43,0.93,0,0.12,1.43,False,,Household
LI-00000081,TXN-0000019,PRD-00758,1,6.95,4.89,0,0.57,6.95,False,,Seasonal
LI-00000082,TXN-0000019,PRD-00651,1,28.93,13.56,0,2.39,28.93,False,,Personal Care
LI-00000083,TXN-0000019,PRD-00461,1,64.63,29.93,0,5.33,64.63,False,,OTC Medication
LI-00000084,TXN-0000020,PRD-00589,1,49.5,25.25,0,4.08,49.5,False,,Vitamins & Supplements
LI-00000085,TXN-0000021,PRD-00668,1,31.33,23.12,4.7,2.2,26.63,False,,OTC Medication
LI-00000086,TXN-0000021,PRD-00757,1,30.21,19.45,0,2.49,30.21,False,,Household
LI-00000087,TXN-0000021,PRD-00004,3,40.08,21.13,0,9.92,120.24,False,,Beverages
LI-00000088,TXN-0000021,PRD-00352,1,42.71,26.12,0,3.52,42.71,False,,Personal Care
LI-00000089,TXN-0000022,PRD-00148,4,9.97,6.66,0,3.29,39.88,False,,Household
LI-00000090,TXN-0000022,PRD-00177,1,16.24,11.75,1.62,1.21,14.62,False,,Seasonal
LI-00000091,TXN-0000022,PRD-00522,3,23.47,15.82,0,5.81,70.41,False,,Seasonal
LI-00000092,TXN-0000022,PRD-00372,1,11.77,8.1,0,0.97,11.77,False,,Medical Supplies
LI-00000093,TXN-0000022,PRD-00750,1,8.07,5.54,0,0.67,8.07,False,,Vitamins & Supplements
LI-00000094,TXN-0000023,PRD-00022,1,18.35,9.47,0,1.51,18.35,False,,Vitamins & Supplements
LI-00000095,TXN-0000023,PRD-00253,3,30.39,18.9,0,7.52,91.17,False,,Beverages
LI-00000096,TXN-0000023,PRD-00193,1,7.34,3.95,1.47,0.48,5.87,False,,Personal Care
LI-00000097,TXN-0000023,PRD-00487,1,44.6,32.86,0,3.68,44.6,False,,OTC Medication
LI-00000098,TXN-0000023,PRD-00513,1,26.35,14.63,3.95,1.85,22.4,False,,Beverages
LI-00000099,TXN-0000023,PRD-00399,1,10.1,6.6,0,0.83,10.1,False,,First Aid
LI-00000100,TXN-0000023,PRD-00264,1,3.22,2.41,0,0.27,3.22,False,,Beverages
LI-00000101,TXN-0000023,PRD-00078,1,8.0,5.24,0,0.66,8.0,False,,OTC Medication
LI-00000102,TXN-0000024,PRD-00031,1,25.21,18.49,0,2.08,25.21,False,,Grocery
LI-00000103,TXN-0000024,PRD-00065,1,8.33,4.15,0,0.69,8.33,False,,Seasonal
LI-00000104,TXN-0000024,PRD-00519,1,9.97,4.29,0,0.82,9.97,False,,OTC Medication
LI-00000105,TXN-0000024,PRD-00534,2,60.0,26.98,0,9.9,120.0,False,,Grocery
LI-00000106,TXN-0000024,PRD-00006,2,37.66,25.28,0,6.21,75.32,False,,Household
LI-00000107,TXN-0000024,PRD-00087,1,9.28,4.17,0,0.77,9.28,False,,Personal Care
LI-00000108,TXN-0000025,PRD-00510,1,56.16,25.85,0,4.63,56.16,False,,Beauty
LI-00000109,TXN-0000025,PRD-00315,1,17.4,9.93,0,1.44,17.4,False,,Beverages
LI-00000110,TXN-0000025,PRD-00256,3,45.01,33.53,0,11.14,135.03,False,,Snacks
LI-00000111,TXN-0000026,PRD-00068,1,43.22,20.95,0,3.57,43.22,False,,Vitamins & Supplements
LI-00000112,TXN-0000026,PRD-00354,1,45.97,33.43,0,3.79,45.97,False,,Personal Care
LI-00000113,TXN-0000026,PRD-00703,1,4.42,3.01,0,0.36,4.42,False,,Beverages
LI-00000114,TXN-0000026,PRD-00785,1,12.52,8.92,0,1.03,12.52,False,,Beverages
LI-00000115,TXN-0000026,PRD-00666,3,36.74,21.57,0,9.09,110.22,False,,Snacks
LI-00000116,TXN-0000026,PRD-00664,1,3.87,2.51,0,0.32,3.87,False,,Personal Care
LI-00000117,TXN-0000026,PRD-00207,4,8.5,5.44,0,2.81,34.0,False,,Grocery
LI-00000118,TXN-0000027,PRD-00516,1,23.2,16.03,2.32,1.72,20.88,False,,Seasonal
LI-00000119,TXN-0000027,PRD-00752,1,37.68,27.73,7.54,2.49,30.14,False,,OTC Medication
LI-00000120,TXN-0000027,PRD-00110,1,41.9,30.05,0,3.46,41.9,False,,First Aid
LI-00000121,TXN-0000028,PRD-00141,1,53.49,25.66,5.35,3.97,48.14,False,,Beverages
LI-00000122,TXN-0000028,PRD-00144,1,5.12,3.09,0,0.42,5.12,False,,Medical Supplies
LI-00000123,TXN-0000028,PRD-00439,1,17.79,9.27,0,1.47,17.79,False,,Medical Supplies
LI-00000124,TXN-0000029,PRD-00750,1,8.07,5.54,0,0.67,8.07,False,,Vitamins & Supplements
LI-00000125,TXN-0000029,PRD-00156,3,40.93,28.46,0,10.13,122.79,False,,Personal Care
LI-00000126,TXN-0000029,PRD-00541,1,41.56,21.78,0,3.43,41.56,False,,Beverages
LI-00000127,TXN-0000030,PRD-00009,1,35.63,18.87,0,2.94,35.63,False,,Snacks
LI-00000128,TXN-0000030,PRD-00060,1,37.9,19.7,5.68,2.66,32.22,False,,Personal Care
LI-00000129,TXN-0000030,PRD-00755,1,23.6,16.37,0,1.95,23.6,False,,Medical Supplies
LI-00000130,TXN-0000030,PRD-00097,1,53.25,34.75,0,4.39,53.25,False,,Grocery
LI-00000131,TXN-0000031,PRD-00221,4,31.12,20.85,0,10.27,124.48,False,,Personal Care
LI-00000132,TXN-0000031,PRD-00606,1,7.85,4.53,0,0.65,7.85,False,,Household
LI-00000133,TXN-0000032,PRD-00089,1,48.32,30.18,9.66,3.19,38.66,False,,Medical Supplies
LI-00000134,TXN-0000032,PRD-00074,1,19.8,12.67,0,1.63,19.8,False,,Medical Supplies
LI-00000135,TXN-0000032,PRD-00298,3,48.94,27.2,0,12.11,146.82,False,,Snacks
LI-00000136,TXN-0000032,PRD-00754,1,4.47,2.32,0,0.37,4.47,False,,Medical Supplies
LI-00000137,TXN-0000033,PRD-00434,2,26.26,14.76,0,4.33,52.52,False,,Personal Care
LI-00000138,TXN-0000033,PRD-00076,1,9.53,4.72,0,0.79,9.53,False,,Vitamins & Supplements
LI-00000139,TXN-0000033,PRD-00726,1,1.74,1.24,0,0.14,1.74,False,,Seasonal
LI-00000140,TXN-0000033,PRD-00715,1,58.29,31.06,0,4.81,58.29,False,,Medical Supplies
LI-00000141,TXN-0000033,PRD-00713,1,39.51,23.44,0,3.26,39.51,False,,Grocery
LI-00000142,TXN-0000034,PRD-00747,1,26.73,14.47,0,2.21,26.73,False,,Household
LI-00000143,TXN-0000034,PRD-00206,1,31.56,19.86,0,2.6,31.56,False,,Vitamins & Supplements
LI-00000144,TXN-0000034,PRD-00388,1,31.66,22.66,0,2.61,31.66,False,,Personal Care
LI-00000145,TXN-0000034,PRD-00164,1,21.53,16.11,0,1.78,21.53,False,,Snacks
LI-00000146,TXN-0000035,PRD-00281,1,1.43,0.93,0,0.12,1.43,False,,Household
LI-00000147,TXN-0000035,PRD-00715,2,58.29,31.06,11.66,8.66,104.92,False,,Medical Supplies
LI-00000148,TXN-0000035,PRD-00490,1,36.63,23.47,1.83,2.87,34.8,False,,Vitamins & Supplements
LI-00000149,TXN-0000035,PRD-00795,1,36.92,27.11,5.54,2.59,31.38,False,,First Aid
LI-00000150,TXN-0000036,PRD-00548,1,50.53,32.09,0,4.17,50.53,False,,Beverages
LI-00000151,TXN-0000036,PRD-00606,1,7.85,4.53,0,0.65,7.85,False,,Household
LI-00000152,TXN-0000036,PRD-00545,1,35.11,18.24,3.51,2.61,31.6,False,,Beauty
LI-00000153,TXN-0000036,PRD-00695,3,3.98,2.48,0,0.99,11.94,False,,Personal Care
LI-00000154,TXN-0000036,PRD-00064,1,26.79,16.18,0,2.21,26.79,False,,Seasonal
LI-00000155,TXN-0000036,PRD-00198,1,48.33,34.16,7.25,3.39,41.08,False,,Household
LI-00000156,TXN-0000036,PRD-00404,1,23.57,17.06,0,1.94,23.57,False,,Medical Supplies
LI-00000157,TXN-0000037,PRD-00393,1,16.83,10.85,0,1.39,16.83,False,,Personal Care
LI-00000158,TXN-0000037,PRD-00082,1,58.14,27.21,0,4.8,58.14,False,,First Aid
LI-00000159,TXN-0000037,PRD-00641,3,26.35,11.1,15.81,5.22,63.24,False,,Medical Supplies
LI-00000160,TXN-0000037,PRD-00731,1,21.27,14.11,0,1.75,21.27,False,,First Aid
LI-00000161,TXN-0000037,PRD-00170,1,47.63,25.85,7.14,3.34,40.49,False,,Household
LI-00000162,TXN-0000037,PRD-00287,1,10.42,7.45,0,0.86,10.42,False,,First Aid
LI-00000163,TXN-0000038,PRD-00791,4,55.02,32.66,0,18.16,220.08,False,,Beauty
LI-00000164,TXN-0000038,PRD-00170,1,47.63,25.85,0,3.93,47.63,False,,Household
LI-00000165,TXN-0000038,PRD-00657,1,34.01,18.43,1.7,2.67,32.31,False,,Grocery
LI-00000166,TXN-0000039,PRD-00329,1,18.11,13.09,0,1.49,18.11,False,,Personal Care
LI-00000167,TXN-0000039,PRD-00620,1,36.09,20.29,7.22,2.38,28.87,False,,First Aid
LI-00000168,TXN-0000039,PRD-00397,1,6.51,4.04,0,0.54,6.51,False,,Medical Supplies
LI-00000169,TXN-0000039,PRD-00173,1,56.42,32.72,0,4.65,56.42,False,,OTC Medication
LI-00000170,TXN-0000039,PRD-00211,1,55.8,27.56,0,4.6,55.8,False,,Seasonal
LI-00000171,TXN-0000039,PRD-00004,1,40.08,21.13,0,3.31,40.08,False,,Beverages
LI-00000172,TXN-0000039,PRD-00538,1,43.36,26.61,0,3.58,43.36,False,,Seasonal
LI-00000173,TXN-0000039,PRD-00157,1,20.9,10.51,1.04,1.64,19.86,False,,Household
LI-00000174,TXN-0000040,PRD-00238,1,8.6,5.27,0,0.71,8.6,False,,Vitamins & Supplements
LI-00000175,TXN-0000040,PRD-00474,1,64.44,32.12,22.55,3.46,41.89,True,EMP-0023,Beverages
LI-00000176,TXN-0000040,PRD-00014,1,32.34,19.67,0,2.67,32.34,False,,Beverages
LI-00000177,TXN-0000040,PRD-00514,1,19.64,13.28,0,1.62,19.64,False,,Beverages
LI-00000178,TXN-0000041,PRD-00447,1,33.36,21.91,0,2.75,33.36,False,,Grocery
LI-00000179,TXN-0000041,PRD-00250,1,3.71,2.36,0,0.31,3.71,False,,Medical Supplies
LI-00000180,TXN-0000041,PRD-00146,1,37.43,21.81,0,3.09,37.43,False,,Beauty
LI-00000181,TXN-0000041,PRD-00480,3,34.43,24.16,20.66,6.82,82.63,False,,First Aid
LI-00000182,TXN-0000041,PRD-00487,1,44.6,32.86,6.69,3.13,37.91,False,,OTC Medication
LI-00000183,TXN-0000041,PRD-00697,1,8.1,3.93,0,0.67,8.1,False,,Vitamins & Supplements
LI-00000184,TXN-0000042,PRD-00196,1,54.03,28.31,0,4.46,54.03,False,,Medical Supplies
LI-00000185,TXN-0000042,PRD-00589,1,49.5,25.25,0,4.08,49.5,False,,Vitamins & Supplements
LI-00000186,TXN-0000042,PRD-00005,1,2.92,2.11,0,0.24,2.92,False,,Seasonal
LI-00000187,TXN-0000042,PRD-00667,1,28.54,21.34,0,2.35,28.54,False,,Snacks
LI-00000188,TXN-0000042,PRD-00152,1,27.93,13.65,0,2.3,27.93,False,,Personal Care
LI-00000189,TXN-0000042,PRD-00335,1,46.97,25.49,0,3.88,46.97,False,,Seasonal
LI-00000190,TXN-0000043,PRD-00265,1,28.83,18.07,0,2.38,28.83,False,,Vitamins & Supplements
LI-00000191,TXN-0000043,PRD-00398,1,23.59,15.4,0,1.95,23.59,False,,Personal Care
LI-00000192,TXN-0000043,PRD-00306,1,10.53,7.5,0,0.87,10.53,False,,Beverages
LI-00000193,TXN-0000044,PRD-00208,1,18.8,11.66,0,1.55,18.8,False,,Personal Care
LI-00000194,TXN-0000044,PRD-00529,1,19.53,13.95,0,1.61,19.53,False,,Snacks
LI-00000195,TXN-0000045,PRD-00009,1,35.63,18.87,0,2.94,35.63,False,,Snacks
