transaction_id,receipt_number,store_id,register_id,employee_id,customer_id,transaction_datetime,transaction_type,subtotal,discount_amount,tax_amount,total_amount,payment_method,item_count,prescription_included,loyalty_used,manager_override,status
TXN-0000001,RCP-00000001,PH-003,REG-06,EMP-0047,CUS-01986,2026-06-13 20:19:10,Sale,288.56,1.27,23.7,310.99,Credit Card,7,False,True,False,Completed
TXN-0000002,RCP-00000002,PH-003,REG-06,EMP-0060,CUS-02662,2026-05-30 10:28:32,Sale,45.52,0,3.76,49.28,Credit Card,1,False,True,False,Completed
TXN-0000003,RCP-00000003,PH-002,REG-05,EMP-0040,CUS-00502,2026-05-13 14:39:31,Sale,309.35,0,25.52,334.87,Debit Card,4,False,True,False,Completed
TXN-0000004,RCP-00000004,PH-002,REG-03,EMP-0039,CUS-01814,2026-06-02 15:12:15,Sale,242.32,0,19.99,262.31,Credit Card,2,False,True,False,Completed
TXN-0000005,RCP-00000005,PH-001,REG-03,EMP-0020,CUS-02077,2026-07-22 10:09:18,Sale,282.81,1.28,23.24,304.77,Credit Card,7,False,True,False,Completed
TXN-0000006,RCP-00000006,PH-001,REG-05,EMP-0013,,2026-05-08 17:39:10,Sale,130.45,2.05,10.59,138.99,Split Payment,5,False,False,False,Completed
TXN-0000007,RCP-00000007,PH-004,REG-06,EMP-0080,CUS-00994,2026-05-12 13:44:31,Sale,160.73,2.5,13.05,171.28,Debit Card,6,False,True,False,Completed
TXN-0000008,RCP-00000008,PH-004,REG-04,EMP-0085,CUS-03649,2026-06-18 20:22:42,Sale,47.8,1.82,3.8,49.78,Credit Card,3,False,True,False,Completed
TXN-0000009,RCP-00000009,PH-001,REG-05,EMP-0017,CUS-04207,2026-07-22 08:46:13,Sale,86.81,4.61,6.78,88.98,Credit Card,2,False,True,False,Completed
TXN-0000010,RCP-00000010,PH-003,REG-05,EMP-0059,,2026-07-09 16:46:22,Sale,138.71,0,11.45,150.16,Cash,4,False,False,False,Completed
TXN-0000011,RCP-00000011,PH-001,REG-05,EMP-0015,CUS-01583,2026-07-05 18:55:18,Sale,74.64,0,6.16,80.8,Cash,3,False,True,False,Completed
TXN-0000012,RCP-00000012,PH-005,REG-05,EMP-0102,,2026-06-06 09:41:16,Sale,213.07,0,17.58,230.65,Credit Card,5,False,False,False,Completed
TXN-0000013,RCP-00000013,PH-003,REG-05,EMP-0056,,2026-07-20 14:13:19,Sale,190.33,4.35,15.35,201.33,Debit Card,5,False,False,False,Completed
TXN-0000014,RCP-00000014,PH-002,REG-02,EMP-0035,CUS-01260,2026-07-21 14:06:23,Sale,343.65,15.41,27.08,355.32,Debit Card,5,False,True,False,Completed
TXN-0000015,RCP-00000015,PH-003,REG-05,EMP-0045,CUS-02311,2026-06-06 09:25:13,Sale,198.74,0,16.4,215.14,Credit Card,5,False,True,False,Completed
TXN-0000016,RCP-00000016,PH-005,REG-05,EMP-0090,CUS-03094,2026-06-18 19:12:22,Sale,211.39,3.01,17.19,225.57,Credit Card,6,False,True,False,Completed
TXN-0000017,RCP-00000017,PH-001,REG-03,EMP-0014,CUS-04443,2026-06-03 09:26:25,Sale,170.14,0,14.04,184.18,Debit Card,6,False,True,False,Completed
TXN-0000018,RCP-00000018,PH-005,REG-01,EMP-0108,CUS-03781,2026-06-23 21:25:12,Sale,28.83,0,2.38,31.21,Gift Card,1,False,True,False,Completed
