void_id,transaction_id,store_id,register_id,employee_id,approving_manager_id,void_datetime,void_amount,void_reason,stage,flagged,flag_reason
VOID-000001,TXN-0002897,PH-001,REG-03,EMP-0002,EMP-0002,2026-06-13 20:45:04,125.96,Duplicate scan,After Payment Authorization,True,Late high-value void
VOID-000002,TXN-0001090,PH-004,REG-04,EMP-0086,EMP-0069,2026-06-26 21:21:14,168.78,Price dispute,Before Payment,True,Late high-value void
VOID-000003,TXN-0000946,PH-001,REG-05,EMP-0016,EMP-0001,2026-05-17 20:59:40,103.09,Price dispute,After Payment Authorization,True,Late high-value void
VOID-000004,TXN-0003319,PH-003,REG-01,EMP-0058,EMP-0045,2026-05-01 20:21:37,128.39,Duplicate scan,Before Payment,True,Late high-value void
VOID-000005,TXN-0003858,PH-005,REG-02,EMP-0106,EMP-0100,2026-06-19 21:05:15,105.36,Payment issue,After Receipt Printed,True,Late high-value void
VOID-000006,TXN-0002384,PH-002,REG-05,EMP-0038,EMP-0035,2026-06-10 20:51:13,61.08,Payment issue,After Payment Authorization,True,Late high-value void
VOID-000007,TXN-0001867,PH-001,REG-06,EMP-0015,EMP-0012,2026-06-02 21:47:43,146.85,Price dispute,After Receipt Printed,True,Late high-value void
VOID-000008,TXN-0003359,PH-004,REG-03,EMP-0078,EMP-0068,2026-05-17 21:20:23,128.67,Customer changed mind,After Payment Authorization,True,Late high-value void
VOID-000009,TXN-0004253,PH-002,REG-04,EMP-0025,EMP-0024,2026-05-26 21:42:27,95.42,Customer changed mind,After Payment Authorization,True,Late high-value void
VOID-000010,TXN-0000778,PH-001,REG-04,EMP-0020,EMP-0002,2026-07-26 21:53:42,176.02,Duplicate scan,After Payment Authorization,True,Late high-value void
VOID-000011,TXN-0002077,PH-005,REG-03,EMP-0100,EMP-0089,2026-05-04 21:26:54,73.96,Duplicate scan,Before Payment,True,Late high-value void
VOID-000012,TXN-0001274,PH-001,REG-02,EMP-0018,EMP-0001,2026-05-23 21:44:42,150.48,Customer changed mind,After Receipt Printed,True,Late high-value void
VOID-000013,TXN-0003508,PH-003,REG-03,EMP-0059,EMP-0045,2026-06-08 21:33:42,10.59,Duplicate scan,Before Payment,True,Late high-value void
VOID-000014,TXN-0004445,PH-001,REG-06,EMP-0017,EMP-0003,2026-06-15 20:59:58,20.95,Customer changed mind,After Receipt Printed,True,Late high-value void
VOID-000015,TXN-0003715,PH-003,REG-05,EMP-0060,EMP-0045,2026-05-26 21:13:54,130.57,Price dispute,After Receipt Printed,True,Late high-value void
VOID-000016,TXN-0001128,PH-005,REG-04,EMP-0106,EMP-0091,2026-05-23 11:13:14,14.19,Price dispute,After Payment Authorization,False,
VOID-000017,TXN-0003150,PH-002,REG-01,EMP-0038,EMP-0035,2026-07-25 08:08:56,42.64,Duplicate scan,After Payment Authorization,False,
VOID-000018,TXN-0004789,PH-003,REG-04,EMP-0060,EMP-0047,2026-07-28 09:57:02,11.59,Payment issue,After Receipt Printed,False,
VOID-000019,TXN-0000075,PH-003,REG-04,EMP-0059,EMP-0056,2026-05-05 14:01:23,65.17,Payment issue,Before Payment,False,
VOID-000020,TXN-0001065,PH-003,REG-05,EMP-0046,EMP-0046,2026-05-26 09:56:17,33.26,Payment issue,After Payment Authorization,False,
VOID-000021,TXN-0000965,PH-002,REG-01,EMP-0025,EMP-0035,2026-05-25 19:39:56,23.39,Duplicate scan,Before Payment,False,
VOID-000022,TXN-0000871,PH-001,REG-01,EMP-0013,EMP-0013,2026-05-19 18:40:54,39.27,Duplicate scan,After Receipt Printed,False,
VOID-000023,TXN-0001906,PH-004,REG-02,EMP-0083,EMP-0068,2026-05-17 19:02:42,33.61,Price dispute,After Receipt Printed,False,
VOID-000024,TXN-0003002,PH-001,REG-03,EMP-0013,EMP-0012,2026-06-07 18:28:19,76.4,Payment issue,Before Payment,False,
VOID-000025,TXN-0003651,PH-003,REG-06,EMP-0047,EMP-0045,2026-06-17 14:35:02,22.03,Customer changed mind,Before Payment,False,
VOID-000026,TXN-0004294,PH-002,REG-01,EMP-0034,EMP-0023,2026-06-01 18:24:09,73.92,Duplicate scan,After Receipt Printed,False,
VOID-000027,TXN-0003430,PH-001,REG-05,EMP-0006,EMP-0001,2026-06-30 14:11:48,28.09,Duplicate scan,Before Payment,False,
VOID-000028,TXN-0004789,PH-003,REG-04,EMP-0060,EMP-0047,2026-07-25 21:04:03,21.59,Payment issue,After Receipt Printed,False,
VOID-000029,TXN-0002439,PH-001,REG-01,EMP-0002,EMP-0012,2026-07-19 13:32:39,56.4,Customer changed mind,Before Payment,False,
VOID-000030,TXN-0004605,PH-004,REG-04,EMP-0084,EMP-0069,2026-05-19 19:43:36,67.29,Payment issue,Before Payment,False,
